	Cont_1	Cont_2	SFN_1	SFN_2	NRF2KO-SFN_1	NRF2KO-SFN_2
RPL18	13403	12905	18972	14276	11991	11679
RPL18A	22067	20327	30167	24400	25207	24227
RPL19	18837	17955	23922	17223	16931	15945
RPL19P12	3	1	0	2	1	1
RPL21	854.1	1924.94	1392.75	1122.35	659.2	600.78
RPL21P28	11591.9	9414.06	12744.25	9728.65	9865.8	9819.22
RPL21P44	5	1	0	5	4	3
RPL22	11150	9460	11611	9345	8958	9226
RPL22L1	675	588	616	470	371	328
RPL23	13280	12281	14661	11089	10944	10558
RPL23A	12805	11386	15269	11377	11243	10677
RPL23AP32	0	2	0	0	0	0
RPL23AP53	583	643	584	518	424	425
RPL23AP64	19	10	16	14	5	20
RPL23AP7	394.89	387.5	392.82	369.28	321.7	292.16
RPL23AP82	267.09	234.48	320.16	268.7	202.27	166.83
RPL23AP87	7.02	11.02	4.01	10.02	5.03	10.01
RPL23P8	0	0	0	0	0	0
RPL24	10632	9775	13161	10113	9439	9748
RPL26	13072	11577	14800	11209	10606	10018
RPL26L1	1095	960	1136	881	747	727
RPL27	11660	10680	15205	12255	11013	10684
RPL27A	18250	16215	22510	16790	17400	16633
RPL28	12375	11758	17030	13976	11503	11349
RPL29	8547	7682	11092	8409	7522	7580
RPL29P2	0	0	0	0	0	0
RPL3	27656	26470	35146	27668	25030	24677
RPL30	5383	4692	5970	4546	4409	4234
RPL31	12037	10647	13524	11775	10950	10923
RPL31P11	0	0	0	0	0	0
RPL32	12791	12015	16000	11120	10575	9945
RPL32P3	57	62	59	55	49	62
RPL34	11015	9730	11253	8841	8017	7667
RPL34-AS1	0	0	2	0	0	3
RPL35	13492	11620	16155	12793	13058	12822
RPL35A	11263	8994	11219	9528	9672	9787
RPL36	10693	9268	12724	9157	11161	10381
RPL36A	9052	7641	8947.87	6698.07	7298.59	7096.91
RPL36A-HNRNPH2	0	0	21.28	19.65	67.56	10.48
RPL36AL	5191	4376	5236	3908	3499	3376
RPL37	10346	8450	8472	7444	9179	9244
RPL37A	11337	9845	10768	8338	10979	10064
RPL38	9151	7630	7110	6301	7461	7133
RPL39	7572	5965	7950	6167	6741	6322
RPL39L	500	387	553	449	408	412
RPL3L	0	1	0	0	0	0
RPL4	33237	32231	43492	32041	30605	29868
RPL41	12316	11364	11868	9658	9421	9305
RPL5	18270	16371	21379	16546	15906	15461
RPL6	24945	22525	30446	25039	23283	23125
RPL7	10945	9583	12632	10451	9670	9652
RPL7A	23325	22827	31107	23355	21829	21502
RPL7L1	1708	1876	2094	1537	1425	1485
RPL8	41017	37003	55283	42462	39565	40144
RPL9	13262	12406	15874	12409	11204	10464
RPLP0	32698	33143	45023	33351	32155	29776
RPLP0P2	42	21	38	33	3	4
RPLP1	21487	19076	26903	21522	20165	20292
RPLP2	10219	9225	11944	9123	9587	8801
RPN1	5894	5908	8335	6170	5211	4996
RPN2	8010	8330	11602	8950	7845	7758
RPP14	374	412	446	406	298	303
RPP21	270	254.01	307	281	264.44	272
RPP25	360	427	368	237	233	271
RPP25L	323	307	449	327	289	333
RPP30	926	961	1092	979	795	711
RPP38	420	286	376	280	256	274
RPP40	370	325	260	213	190	189
RPPH1	6	4	5	0	2	10
RPRD1A	1668	1771	2300	1833	1496	1573
RPRD1B	1540	1618	2313	1743	1494	1416
RPRD2	1233	1265	1314	1198	1198	1215
RPRM	0	0	0	0	0	0
RPRML	0	0	0	0	0	0
RPS10	18453	17135	25445.13	19659	16114	15397.62
RPS10-NUDT3	0	0	17.77	0	0	3.26
RPS10P7	0	2	1	0	0	0
RPS11	12988	11685	15661	12141	12717	12614
RPS12	15220	14331	18649	14477	12642	12269
RPS13	10146	8502	9871	8359	8842	8365
RPS14	13642	12755	16929	13525	12603	12486
RPS14P3	12	5	11	10	7	7
RPS15	19780	18672	28314	21284	18785	18172
RPS15A	10330	9286	11722	8762	7997	7794
RPS15AP10	6	5	8	2	10	9
RPS16	13523	12024	17108	13576	12500	12780
RPS16P5	5	3	4	5	11	9
RPS17	11970	9575	13555	11072	11715	11599
RPS18	20167	18941	24931	18762	18683	17755
RPS18P9	19	42	45	33	21	35
RPS19	18348	16606	25608	20040	18286	18055
RPS19BP1	1074	1095	1472	1054	1058	989
RPS2	36864	34401	52675	38467	37646	34838
RPS20	5938	5716	7817	6204	5288	5014
RPS21	10403	9066	9395	7504	8386	7899
RPS23	19961	17748	21301	18621	15722	15909
RPS24	15962	14741	18223	13739	12676	11853
RPS25	9157	8219	10305	8337	7818	7960
RPS26	12593	10956	14959	11209	9405	8860
RPS26P11	0	1	5	0	0	0
RPS27	9124	7156	7688	6573	8374	8210
RPS27A	16888	16112	20995	15605	13030	12613
RPS27L	2594	2257	2495	2014	1663	1610
RPS28	13191	11457	13594	9966	11813	10684
RPS29	7048	5326	4031	4062	6182	6141
RPS2P32	0	8	3	4	8	9
RPS3	25455	22843	31401	26182	24400	24131
RPS3A	21817	20924	27512	20139	19405	18451
RPS4X	15050	14277	19231	15255	14146	13969
RPS4Y1	0	0	0	0	0	0
RPS4Y2	0	0	0	0	0	0
RPS5	14690	14377	20825	15229	14001	13089
RPS6	10918	11096	14455	10895	11084	10571
RPS6KA1	781	811	580	481	458	393
RPS6KA2	1302	1257	1490	1213	1320	1201
RPS6KA2-AS1	0	0	0	0	0	0
RPS6KA2-IT1	0	0	0	0	0	0
RPS6KA3	1349	1413	1401	1250	1031	945
RPS6KA4	1993	2090	2601	2077	2051	2077
RPS6KA5	175	205	211	221	203	190
RPS6KA6	263	291	276	206	207	183
RPS6KB1	1328	1410	1570	1255	1283	1260
RPS6KB2	1195	1118	1549	1098	1083	939
RPS6KC1	674	640	690	568	389	414
RPS6KL1	346	249	227	164	202	205
RPS7	12090	11641	15084	11334	10884	10191
RPS7P5	0	0	0	0	0	0
RPS8	19866	18461	23825	17791	18292	17713
RPS9	13452	11911	16109	13230	11999	12267
RPSA	14452.4	13652.78	20181.65	15986.81	14173.1	13659.84
RPSAP52	33	42	22	10	16	15
RPSAP58	45.54	33.22	60.13	29.19	55.43	67.16
RPSAP9	3.06	7	15.22	4	4.47	6
RPTN	0	0	0	0	0	0
RPTOR	2293	2223	2479	2040	2204	2219
RPUSD1	1082	979	1164	958	901	881
RPUSD2	292	276	370	233	289	233
RPUSD3	530	499	639	411	450	478
RPUSD4	578	584	641	496	524	520
RQCD1	1674	1709	1909	1437	1397	1386
RRAD	430	421	251	165	176	189
RRAGA	652	672	747	607	596	590
RRAGB	268	241	274	289	186	175
RRAGC	1143	1082	1520	1317	823	802
RRAGD	6	0	5	0	2	1
RRAS	883	838	1359	1106	887	854
RRAS2	3302	3453	3669	2732	2757	2632
RRBP1	5183	4978	7640	5804	5070	4832
RREB1	902	983	1298	1123	1168	1135
RRH	0	2	3	4	2	0
RRM1	5326	5165	5654	4382	3772	3760
RRM2	6122	6016	5319	4177	3468	3442
RRM2B	696	671	716	584	478	422
RRN3	1839.61	1900.59	2750.99	2154.85	1658.8	1424.78
RRN3P1	70.11	70	61	54	54.15	53
RRN3P2	0	0	1.01	3.03	2.04	5.09
RRN3P3	118.97	89.09	109.51	81.13	94.19	69.34
RRNAD1	148	117	220	212	159	170
RRP1	1449	1469	1617	1228	1201	1222
RRP12	2126	2087	2188	1667	1441	1437
RRP15	1239	1267	1117	857	857	876
RRP1B	2884	2861	2633	2234	2088	2005
RRP36	1401	1442	1528	1135	973	1037
RRP7A	3881.01	3536.03	5851.09	4774.75	4191.11	3921.72
RRP7BP	311.56	263.42	261.14	270.17	291.82	242.76
RRP8	376	305	385	300	252	233
RRP9	440	462	432	308	256	306
RRS1	722	586	548	398	401	433
RRS1-AS1	0	6	1	4	1	0
RS1	0	0	0	0	0	0
RSAD1	652	813	541	390	433	413
RSAD2	1	0	0	3	0	0
RSBN1	539	534	568	458	405	413
RSBN1L	350.38	338.03	492.1	411.09	413.16	390.55
RSC1A1	136.94	163.06	173.04	203.11	159.83	164.24
RSF1	1342	1256	1705	1545	1351	1320
RSG1	69	42	71	56	70	58
RSL1D1	3546	3474	3976	3165	2786	2528
RSL24D1	2184	1929	2501	2041	1759	1818
RSPH1	1	2	0	0	1	0
RSPH10B	5.5	4	5.5	4	2.5	1.5
RSPH10B2	5.5	4	5.5	4	2.5	1.5
RSPH14	0	2	0	2	1	0
RSPH3	82	114	127	87	123	102
RSPH4A	4	19	8	7	11	8
RSPH6A	4	0	1	4	1	2
RSPH9	9	1	18	5	6	4
RSPO1	0	0	0	0	0	0
RSPO2	0	0	0	0	0	0
RSPO3	0	0	0	0	0	0
RSPO4	4	0	1	0	1	0
RSPRY1	1060	1029	1341	1164	922	920
RSRC1	476	464	545	443	425	409
RSRC2	1421	1431	2633	2117	1797	1702
RSRP1	755	677	995	838	562	539
RSU1	2559	2578	3252	2504	1992	1859
RSU1P2	0	0	0	0	0	0
RTBDN	5	7	10	3	2	6
RTCA	1144	1025	1187	1017	710	710
RTCA-AS1	5	10	8	0	3	8
RTCB	2269	2551	3007	2473	1960	1892
RTEL1	1772.09	1688.96	1609.65	1351.59	1475.83	1457.11
RTEL1-TNFRSF6B	52.22	34.5	89.12	29.59	48.23	63.82
RTF1	1978	2062	2059	1710	1944	1903
RTFDC1	4121	3882	4916	3813	3288	3285
RTKN	231	223	256	218	218	256
RTKN2	619	641	370	354	384	362
RTL1	0	0	0	0	0	0
RTN1	7	2	3	6	5	8
RTN2	135	163	182	146	139	106
RTN3	4207	4062	4748	3677	3450	3483
RTN4	10687	10926	16673	13966	11377	11322
RTN4IP1	296	234	270	226	174	234
RTN4R	53	53	70	46	58	53
RTN4RL1	17	0	3	1	1	3
RTN4RL2	1	10	3	4	3	4
RTP1	0	0	0	0	0	0
RTP2	0	0	0	0	0	0
RTP3	1	1	0	0	0	0
RTP4	0	0	0	0	0	0
RTP5	0	0	0	0	0	0
RTTN	519	561	503	420	378	362
RUFY1	694	610	862	717	731	706
RUFY2	513	435	464	408	365	369
RUFY3	398	332	337	385	304	302
RUFY4	0	0	0	0	0	0
RUNDC1	736	645	860	774	653	608
RUNDC3A	2	7	1	0	4	3
RUNDC3A-AS1	8	6	5	10	1	5
RUNDC3B	16	15	13	3	12	20
RUNX1	1298	1159	1588	1292	1200	1086
RUNX1-IT1	7	12	1	5	1	8
RUNX1T1	0	0	0	0	0	0
RUNX2	450	441	227	171	303	264
RUNX3	1	2	3	2	1	1
RUSC1	1040	1004	1056	933	734	730
RUSC1-AS1	6.07	9.03	8	5.02	8.06	12.03
RUSC2	3404	2969	6469	5431	2958	3086
RUVBL1	1777	1747	2052	1760	1503	1520
RUVBL1-AS1	0	0	0	0	0	0
RUVBL2	4751	4359	6102	4744	4339	4380
RWDD1	1236	1146	1326	1086	776	794
RWDD2A	138	174	256	192	102	163
RWDD2B	302	250	354	286	267	242
RWDD3	163.14	144.79	178.79	119.92	149.68	139.12
RWDD4	948	941	1034	712	674	616
RXFP1	36	12	24	5	12	8
RXFP2	0	3	2	0	0	0
RXFP3	0	0	0	0	0	0
RXFP4	0	1	2	2	3	2
RXRA	1057	1133	1211	1054	958	1003
RXRB	1003	877	1514	1094	992	1059
RXRG	0	0	0	0	0	0
RYBP	362	348	560	491	361	360
RYK	1161	1220	1395	1097	1042	1013
RYR1	0	3	3	4	3	3
RYR2	0	5	10	2	3	6
RYR3	7	13	2	8	1	4
S100A1	8	1	11	9	11	9
S100A10	3017	2645	3340	2633	1962	1878
S100A11	4707	4241	6298	4780	3492	3343
S100A12	0	0	0	0	0	0
S100A13	1878	1739	2470	1728	1515	1511
S100A14	2	4	1	2	5	5
S100A16	4384	4157	7813	6015	4313	3923
S100A2	101	91	138	59	78	66
S100A3	43	46	67	44	32	55
S100A4	23	20	17	9	8	17
S100A5	0	6	2	1	1	8
S100A6	10644	9017	12201	9818	8009	7687
S100A7	0	0	0	0	0	0
S100A7A	0	0	0	0	0	0
S100A7L2	0	0	0	0	0	0
S100A8	0	0	0	0	0	0
S100A9	0	0	0	0	0	0
S100B	0	0	0	0	0	0
S100G	0	0	0	0	0	0
S100P	0	0	0	0	0	0
S100PBP	693	555	896	764	561	615
S100Z	0	0	1	1	0	0
S1PR1	366	397	224	201	234	214
S1PR2	126	115	141	110	108	86
S1PR3	1078.78	974.77	1799.86	1485.84	840.86	798.97
S1PR4	4	8	7	0	1	0
S1PR5	8	5	0	0	0	0
SAA1	5	6	7	1	0	0
SAA2	0	1	2	0	0	0
SAA2-SAA4	0	0	0	0	0	0
SAA3P	0	0	0	0	0	0
SAA4	0	0	0	0	0	0
SAAL1	507	466	459	428	327	354
SAC3D1	504	408	365	246	343	380
SACM1L	564	558	802	597	506	507
SACS	5800	6140	5176	4803	4387	4329
SACS-AS1	2	7	5	2	0	0
SAE1	4635	4626	6256	4973	4269	4463
SAFB	3654.56	3480.83	4213	3700.08	3308.8	3485.38
SAFB2	2822.44	2562.17	3319	2667.92	2439.2	2406.62
SAG	0	0	0	0	0	0
SAGE1	0	0	0	0	0	0
SALL1	0	0	0	0	1	0
SALL2	132	198	117	124	150	126
SALL3	357	373	285	249	278	235
SALL4	12	4	6	9	3	9
SALRNA1	3	3	0	0	1	1
SALRNA2	6	3	36	43	22	17
SALRNA3	2	0	0	3	0	2
SAMD1	177	151	166	123	181	222
SAMD10	218	259	316	264	223	263
SAMD11	19.46	27.93	14.75	12.74	43.93	57.04
SAMD12	719	634	467	417	393	425
SAMD12-AS1	0	3	2	1	1	0
SAMD13	6	2	4	5	3	2
SAMD14	13	35	32	35	33	18
SAMD15	110	78	52	31	81	60
SAMD3	28	54	57	38	13	20
SAMD4A	2609	2631	2835	2514	2166	2009
SAMD4B	1652	1774	2623	2255	1866	1899
SAMD5	325	319	146	122	142	140
SAMD7	0	0	0	0	0	0
SAMD8	827	782	1216	1079	745	686
SAMD9	983	1036	632	510	395	396
SAMD9L	533	560	331	218	138	147
SAMHD1	1042	974.78	1028	729	575.99	583
SAMM50	1573	1546	1787	1375	1181	1154
SAMSN1	7	1	2	0	0	3
SAMSN1-AS1	0	0	0	0	0	0
SAP130	998	817	1149	915	851	926
SAP18	2715	2427	3378	2539	2105	2211
SAP25	29	16	15	11	14	15
SAP30	331	285	317	199	296	317
SAP30BP	2279	2185	3206	2472	2006	1931
SAP30L	573	521	771	591	517	586
SAP30L-AS1	112	118	63	94	74	84
SAPCD1	11.77	12.34	0	0.94	9.07	10.32
SAPCD1-AS1	11.19	15.78	13.29	6.29	9.89	14.32
SAPCD2	1322	1231	1195	990	1616	1620
SAR1A	3288	3068	4451	3481	2905	2838
SAR1B	1145	1205	1625	1264	1006	931
SARAF	3434	3351	5239	4269	3395	3288
SARDH	24	24	34	31	15	33
SARM1	14.57	1.79	8.97	1.09	4.03	8.18
SARNP	1360.41	1411.74	1683.36	1293.03	1087.47	1102.21
SARS	3089	3147	4034	3031	2553	2508
SARS2	482	365	424	319	384	390
SART1	2267	2144	2759	2225	2171	2104
SART3	1807	1828	2626	2230	1867	1923
SASH1	1386	1387	1857	1643	1276	1197
SASH3	0	0	0	0	0	0
SASS6	476	476	469	329	313	351
SAT1	1469	1352	2362	1723	814	791
SAT2	405	370	346	270	281	237
SATB1	1	14	7	4	1	1
SATB1-AS1	0	0	0	0	0	0
SATB2	539	544.97	682	660	638	618
SATB2-AS1	0	1.03	0	0	1	0
SATL1	0	0	1	0	0	0
SAV1	940	893	1031	818	662	653
SAXO1	1	0	0	0	4	0
SAXO2	21	20	16	22	11	10
SAYSD1	205	194	231	189	230	208
SBDS	2700	2719	3672	2834	2168	2053
SBDSP1	1032	951	1381	1059	897	745
SBF1	2528	2461	3194	2673	2711	2595
SBF1P1	0	0	0	0	0	0
SBF2	841	796	954	629	727	685
SBF2-AS1	77	89	80	62	38	55
SBK1	20	16	19	3	18	16
SBK2	11	9	14	2	8	7
SBK3	0	0	6	1	4	2
SBNO1	2070	2059	2724	2241	1963	1905
SBNO2	3542	3717	4300	3569	3330	3338
SBSN	6	1	2	1	7	1
SBSPON	0	3	1	2	0	3
SC5D	482	449	462	363	346	359
SCAF1	3156	3263	4996	4282	3928	3981
SCAF11	3798	3629	4377	3555	3428	3275
SCAF4	1188	989	1757	1448	1231	1244
SCAF8	1535	1554	1634	1346	1375	1380
SCAI	404	283	465	335	347	369
SCAMP1	1117	1047	1164	1040	809	815
SCAMP1-AS1	52	57	36	32	28	40
SCAMP2	784	908	1149	899	751	753
SCAMP3	1198	1177	1894	1379	1147	1154
SCAMP4	1682	1751	1940	1702	1589	1513
SCAMP5	192	188	121	85	102	91
SCAND1	830	764	1100	736	787	835
SCAND2P	189.57	154.22	247.33	206.9	177.71	182.24
SCAP	674	755	871	656	749	696
SCAPER	258	228	260	241	170	145
SCARA3	418	455	608	435	775	739
SCARA5	0	0	0	0	0	0
SCARB1	1041	1021	1338	1052	912	1013
SCARB2	3948	3972	4596	3759	2662	2677
SCARF1	15	8	16	8	9	12
SCARF2	58	48	55	39	60	54
SCARNA1	0	0	0	0	0	0
SCARNA10	0	0	2	0	2	1
SCARNA11	0	0	0	0	0	0
SCARNA12	8	5	6	6	5	4
SCARNA13	0	0	0	0.27	0	2.12
SCARNA14	0	0	0	0	0	0
SCARNA15	0	0	0	0	0	0
SCARNA16	0	1	0	0	0	0
SCARNA17	6	4	4	0	1	6
SCARNA18	0	0	0	0	0	0
SCARNA2	8	0	0	0	2	2
SCARNA20	0	0	0	0	0	0
SCARNA21	0	0	0	0	0	0
SCARNA22	0	0	0	0	0	0
SCARNA23	0	0	0	0	0	0
SCARNA27	0	0	0	0	0	0
SCARNA3	0	0	0	0	0	0
SCARNA4	0	0	0	0	0	0
SCARNA5	2	0	0	0	1	0
SCARNA6	0	0	0	0	0	1
SCARNA7	0	0	0	0	0	1
SCARNA8	0	0	0	0	0	0
SCARNA9	0	0	1	0	0	0
SCARNA9L	0	0	0	0	0	0
SCART1	27	30	50	37	43	48
SCCPDH	1771	1710	2007	1539	1419	1369
SCD	291	306	248	214	600	596
SCD5	687	559	723	559	496	482
SCEL	0	0	0	0	0	0
SCEL-AS1	0	0	0	0	0	0
SCFD1	1926	1936	2094	1606	1255	1191
SCFD2	502	527	647	428	387	403
SCG2	90	84	125	76	44	51
SCG3	0	0	0	0	0	0
SCG5	29	19	18	13	8	12
SCGB1A1	0	1	0	0	0	0
SCGB1B2P	0	2	2	0	1	0
SCGB1C1	0	0	0	0	0	0
SCGB1C2	0	0	0	0	0	0
SCGB1D1	0	0	0	0	0	0
SCGB1D2	0	0	0	0	0	0
SCGB1D4	0	0	0	0	0	0
SCGB2A1	0	0	0	0	0	0
SCGB2A2	0	0	0	0	0	0
SCGB2B2	0	0	0	0	0	2
SCGB2B3P	0	0	0	0	0	0
SCGB3A1	0	0	0	0	0	0
SCGB3A2	0	0	0	0	0	0
SCGN	0	0	0	0	0	0
SCHIP1	61.28	39.04	62.9	23.82	37.63	19.68
SCHLAP1	0	0	0	0	0	0
SCIMP	0	2	3	2	3	4
SCIN	14	9	0	5	3	1
SCLT1	540	516	529	443	422	454
SCLY	274	281	299.61	241.1	209.59	221.41
SCMH1	482	468	494	414	481	461
SCML1	567	516	539	421	301	297
SCML2	184	165	162	126	144	125
SCML4	0	0	0	0	0	0
SCN10A	0	0	0	0	0	0
SCN11A	0	3	1	2	2	4
SCN1A	0	0	1	0	0	0
SCN1B	22	16	19	18	6	16
SCN2A	167	123	158	114	56	69
SCN2B	0	0	0	2	1	0
SCN3A	7	3	17	7	1	8
SCN3B	6	31	17	16	11	7
SCN4A	0	4	1	2	1	1
SCN4B	0	10	4	2	4	3
SCN5A	0	0	0	0	0	0
SCN7A	3	0	3	1	1	1
SCN8A	740	673	1026	976	694	624
SCN9A	174	125	123	121	188	129
SCNM1	744	679	737	637	527	522
SCNN1A	10	9	6	6	4	4
SCNN1B	0	0	0	0	0	2
SCNN1D	134	134	165	131	99	119
SCNN1G	0	0	0	0	0	0
SCO1	896	789	1005	876	676	666
SCO2	411.23	416.51	419.87	294.78	240.4	278.78
SCOC	2260	2155	2795	2038	1521	1438
SCOC-AS1	7	4	10	8	6	8
SCP2	1898	1846	2121	1738	1251	1345
SCP2D1	0	0	0	0	0	1
SCPEP1	939	886	1097	838	580	560
SCRG1	0	0	0	0	0	0
SCRIB	3947	4171	4635	3702	3871	4092
SCRN1	6059	6020	7362	6002	5134	5311
SCRN2	249	197	212	140	164	158
SCRN3	393	430	467	346	350	364
SCRT1	0	2	9	4	4	11
SCRT2	0	0	0	0	0	1
SCT	0	0	0	0	0	0
SCTR	0	0	0	0	0	0
SCUBE1	0	2	0	0	1	0
SCUBE2	3	0	2	9	3	0
SCUBE3	18	22	16	6	19	17
SCX	34	34	55	44	43	59
SCYL1	1459	1438	1676	1387	1257	1275
SCYL2	1180	1123	1770	1433	1173	1107
SCYL3	161	127	172	121	130	144
SDAD1	1118	1117	1212	955	849	802
SDC1	3180	3308	5293	4244	3295	3254
SDC2	3	0	0	1	0	0
SDC3	1733	1707	1708	1349	1484	1447
SDC4	5014	4797	7666	6125	6362	5937
SDC4P	0	0	0	0	0	0
SDCBP	2274	2335	3498	2551	1867	1826
SDCBP2	18	3.33	20.37	1.46	0	18.17
SDCBP2-AS1	60	72	112	87	101	95
SDCCAG3	1488	1358	1516	1171	1246	1072
SDCCAG8	380.26	499.56	588.56	430.47	375.17	390.74
SDE2	1296	1199	1616	1350	1130	1025
SDF2	895	842	1344	1109	755	748
SDF2L1	692	651	1070	752	720	771
SDF4	3026	3524	5095	3816	3493	3430
SDHA	1959	1740	2072	1546	1380	1365
SDHAF1	226	207	283	169	197	199
SDHAF2	710	698	1067	792	566	568
SDHAF3	337	262	271	252	216	204
SDHAF4	58	66	78	50	57	55
SDHAP1	449.05	386.43	385.49	284.78	252.84	268.84
SDHAP2	417.29	374.87	351.12	346.32	359.4	382.23
SDHAP3	12	14	19	7	21	12
SDHB	1715	1677	2169	1765	1619	1514
SDHC	1598	1636	2216	1685	1535	1485
SDHD	1434	1395	1626	1281	1065	1013
SDK1	337	412	481	388	445	374
SDK2	3	4	0	0	0	1
SDPR	128	163	29	26	54	38
SDR16C5	0	0	0	0	0	0
SDR16C6P	0	0	0	0	0	0
SDR39U1	501.65	465.58	524.85	443.64	414.17	402.46
SDR42E1	268	284	394	266	219	251
SDR9C7	0	0	2	0	0	0
SDS	0	0	1	0	0	0
SDSL	106	91	154	94	79	52
SEBOX	0	0	0	0	0	1
SEC11A	2584	2514	3409	2741	2410	2352
SEC11C	375	263	453	367	307	315
SEC13	2718	2647	3346	2599	2256	2174
SEC14L1	8156	8291	11798.84	10091.46	8179.3	8400.04
SEC14L1P1	42	40	40	37	61	48
SEC14L2	534	513	675	509	501	539
SEC14L3	0	0	0	0	0	0
SEC14L4	0	0	0	0	1	0
SEC14L5	0	1	0	1	3	0
SEC14L6	0	0	0	0	0	0
SEC16A	4507	4864.69	6677.89	5384.92	4743.89	4922
SEC16B	31	26	15	16	12	6
SEC1P	2	0	0	3	1	0
SEC22A	462	500	602	465	328	303
SEC22B	3714	3431	3891	3481	2190	2213
SEC22C	793	809	721	652	586	608
SEC23A	4861	4920	5346	4335	3451	3346
SEC23B	3224	3260	3764	2904	2184	2197
SEC23IP	2272	2057	2702	2258	1684	1572
SEC24A	1625	1714	2378	1979	1313	1240
SEC24B	1210	1319	1694	1416	1085	1058
SEC24B-AS1	19	14	3	8	5	4
SEC24C	3446	3265	4522	3732	3094	3072
SEC24D	1485	1408	2108	1894	1332	1346
SEC31A	4561	4425	5592	4473	3531	3394
SEC31B	92	63	76	66	48	68
SEC61A1	9342	8999	12822	9660	7690	7349
SEC61A2	276	307	398	321	260	248
SEC61B	2096	1852	2462	1937	1595	1552
SEC61G	2249	1698	1859	1553	1665	1700
SEC62	2790	3013	3455	3033	2150	2164
SEC63	3039	2824	3808	3012	2563	2449
SECISBP2	293	303	389	343	294	276
SECISBP2L	1845	1848	2261	2076	1724	1540
SECTM1	240	203	196	139	99	89
SEH1L	606	618	579	399	417	440
SEL1L	1426	1278	1669	1469	1302	1244
SEL1L2	0	0	0	0	0	0
SEL1L3	789	802	1019	860	380	433
SELE	0	0	0	0	0	0
SELENBP1	0	0	0	2	0	0
SELK	322	275	474	420	246	326
SELL	0	0	0	0	0	0
SELM	883	798	1170	903	794	702
SELO	447	499	808	592	689	636
SELP	0	0	0	0	0	0
SELPLG	42	36	205	122	72	72
SELT	2954	2937	3935	3112	2158	2127
SELV	0	0	0	0	0	0
SEMA3A	2090	1956	2072	1635	1405	1315
SEMA3B	137	122	174	145	156	129
SEMA3B-AS1	0	0	0	1	0	0
SEMA3C	2573	2530	2239	1776	1013	1002
SEMA3D	1407	1582	1204	1072	1117	1074
SEMA3E	325	327	317	239	169	159
SEMA3F	411	435	430	290	337	385
SEMA3G	0	2	2	1	1	2
SEMA4A	2	0	11	2	2	6
SEMA4B	1033	1063	1445	1271	1030	985
SEMA4C	517	450	765	598	612	631
SEMA4D	30	55	69	70	75	55
SEMA4F	328	392	421	383	367	325
SEMA4G	18	14	20	24	30	29
SEMA5A	142	142	160	110	117	95
SEMA5B	0	0	0	0	0	0
SEMA6A	15	13	12	6	4.23	4
SEMA6A-AS1	4	1	0	2	3.77	1
SEMA6B	660	611	714	604	525	537
SEMA6C	90	60	70	59	48	54
SEMA6D	4	2	0	0	0	1
SEMA7A	642	692	784	677	393	375
SEMG1	0	0	0	0	0	0
SEMG2	0	0	0	0	0	0
SENCR	39	54	39	27	40	27
SENP1	645	660	982	793	822	724
SENP2	1091	1180	1316	1033	976	979
SENP3	2293.49	2190.82	2589.55	2078.41	1826.7	1859.89
SENP3-EIF4A1	37.24	69.76	176.43	183.49	76.57	84.6
SENP5	1048	1065	1326	985	916	841
SENP6	1642	1612	2295	1807	1583	1547
SENP7	397	406	321	279	295	280
SENP8	42	51	64	61	42	54
SEP15	2832	2918	4108	3283	2671	2479
SEPHS1	2119	2021	2232	1812	2046	2001
SEPHS2	2002	1901	2509	1944	1547	1531
SEPN1	1722	1730	2453	2047	2213	2183
SEPP1	1	2	0	0	2	1
SEPSECS	220	264	277	234	251	234
SEPSECS-AS1	8	2	7	1	2	2
SEPT1	12	7	3	1	1	3
SEPT10	1785	1711	1723	1472	1359	1439
SEPT11	4812	5092	5678	4844	4465	4397
SEPT12	0	0	0	2	0	2
SEPT14	0	0	0	0	0	0
SEPT2	14616	14313	16961	14256	11381	11267
SEPT3	0	0	1	2	1	0
SEPT4	0	0	3	1	0	2
SEPT4-AS1	0	0	0	0	0	0
SEPT5	39.19	48	25	22	24.43	9.35
SEPT5-GP1BB	6.19	0	0	0	5.95	9.65
SEPT6	42	68	53	36	27	22
SEPT7	4706	4590	5537	4492	3859	3709
SEPT7-AS1	1	1	3	0	2	2
SEPT7P2	143	182	144	123	121	102
SEPT7P9	0	0	0	0	0	0
SEPT8	1751.62	1683	1806	1365	1284	1375
SEPT9	9389	9775	12427	10021	10898	10459
SEPW1	1237	1276	1776	1312	822	845
SERAC1	342	367	370	350	251	256
SERBP1	12714	12142	12943	10194	10525	10148
SERF1A	0	0	0	0	53.1	0
SERF1B	439	418	327	303	287.9	321
SERF2	5245.83	4704.86	6983.92	5565.94	5064.95	4996.85
SERF2-C15ORF63	10.58	20.74	13.4	26.86	6.93	27.37
SERGEF	170	110	162	115	159	136
SERHL	0	0	3.95	0	1.23	0
SERHL2	62.43	46.55	61.82	26.08	39.84	37.52
SERINC1	4491	4687	6733	5581	3788	3768
SERINC2	48	29	58	46	32	24
SERINC3	3208	3044	4453	3706	2907	2944
SERINC4	3.07	2.08	2.05	1.03	0	1.02
SERINC5	544	646	660	582	665	601
SERP1	3378	3192	4604	3773	2952	2872
SERP2	6	3	5	4	3	3
SERPINA1	11	10	13	10	0	1
SERPINA10	0	0	0	0	0	0
