	Ctrl_1	Ctrl_2	SFN_1	SFN_2	NRF2KO-Cont_1	NRF2KO-Cont_2	NRF2KO-SFN_1	NRF2KO-SFN_2
POLR3GL	34.76	35.53	34.04	32.88	38.25	37.85	35.91	41.81
POLR3H	31.37	30.98	23.54	23.85	34.55	34.3	29.13	29.83
POLR3K	93.26	98.5	84.12	92.94	101.48	94.98	87.86	82.72
POLRMT	48.34	53.62	39.98	38.45	64.89	68.92	48.99	47.19
POM121	40.29	43.06	45.21	50.02	52.81	51.45	51.36	52.48
POM121C	33.02	35.63	38.92	41.26	40.73	41.51	45.09	43.9
POM121L10P	0	0	0.02	0	0	0	0	0.01
POM121L12	0	0	0	0	0	0	0	0
POM121L1P	0.11	0	0.05	0.02	0	0	0	0.05
POM121L2	0	0	0	0	0	0	0	0
POM121L4P	0	0	0	0	0	0	0	0
POM121L8P	0	0.04	0.01	0.03	0	0	0	0
POM121L9P	0.03	0	0	0.02	0	0	0	0
POMC	0	0	0	0	0	0	0	0
POMGNT1	48.07	49.09	52.78	47.04	52.86	50.16	54.37	49.76
POMGNT2	8.57	8.43	7.86	7.21	9.03	7.89	8.32	8.23
POMK	23.66	24.31	16.09	21.86	28.2	30.56	27.2	28.02
POMP	225.73	214.67	226.61	225.86	169.59	172.94	200.61	200.82
POMT1	22.92	19.51	21.58	19.59	26.34	26.53	23.31	24.2
POMT2	16.79	15.22	15.33	16.28	18.51	20.67	16.75	16.75
POMZP3	12.65	14.14	13.62	14.76	16.79	16.44	17.95	16.18
PON1	0	0	0.04	0.06	0	0.07	0	0.2
PON2	70.11	79.39	61.98	60.65	55.87	54.28	53.83	55.28
PON3	0	0	0	0	0	0	0	0
POP1	8.23	9.32	7.38	7.28	8.38	9.01	8.42	9.11
POP4	27.81	27.91	28.13	27.3	24.35	24.59	26.19	27.73
POP5	61.27	60.69	49.4	49.92	63.33	62.61	46.22	52.04
POP7	177.13	165.54	139.04	131.82	181.02	199.28	140.16	138.58
POPDC2	0.18	0.06	0.19	0.3	0.4	0.21	0.33	0.21
POPDC3	9.24	9.37	12.93	11.79	4.23	6.07	3.88	5.64
POR	24.92	25.78	28.47	26.12	32.84	33.19	26.08	27.58
PORCN	9.33	8.1	10.16	9.17	8.55	9.92	7.2	10.72
POSTN	0.35	0.78	0.62	0.65	0.77	1.03	0.81	0.64
POT1	15.53	17.89	13	13.93	13.06	13.32	13.6	13.32
POT1-AS1	0.06	0	0.19	0.05	0.19	0.07	0.06	0.06
POTEA	0	0	0	0	0	0	0	0
POTEB	0	0	0	0	0	0	0	0.03
POTEB2	0	0	0	0	0	0	0	0.03
POTEB3	0	0	0	0	0	0	0	0
POTEC	0	0.04	0	0	0	0	0	0
POTED	0	0	0	0	0	0	0	0
POTEE	0	0	0	0	0	0	0	0.03
POTEF	0	0	0	0	0	0.02	0	0
POTEG	0	0	0	0	0	0	0	0
POTEH	0	0	0	0	0	0	0	0
POTEH-AS1	0	0	0	0	0	0	0	0
POTEI	0	0	0	0	0	0	0	0
POTEJ	0	0	0	0	0	0	0	0.03
POTEKP	0	0	0	0	0	0	0	0
POTEM	0	0	0	0	0	0	0	0
POU1F1	0	0	0	0	0.19	0	0	0
POU2AF1	0	0	0	0	0	0	0.1	0
POU2F1	6.39	5.84	5.86	7.02	6.77	6.88	7.8	7.6
POU2F2	0.58	0.45	0.18	0.21	0.53	0.43	0.45	0.29
POU2F3	0.13	0	0.05	0.03	0	0	0	0
POU3F1	0.66	0.03	0.32	0.09	0.21	0.37	0.18	0.11
POU3F2	0.02	0.05	0.05	0	0	0.03	0	0.08
POU3F3	0	0	0	0	0	0.02	0	0
POU3F4	0	0	0	0	0	0	0	0
POU4F1	0.02	0.02	0	0	0.13	0.14	0.08	0.08
POU4F2	0	0.06	0.13	0.03	0	0.03	0.03	0.03
POU4F3	0	0	0.29	0	0.21	0.11	0.21	0.21
POU5F1	2.33	2.33	1.93	1.16	3.21	4.99	1.22	2.54
POU5F1B	0	0.14	0.1	0.06	0.22	0.38	0	0.52
POU5F1P3	0	0	0.33	1.1	0.35	0.12	0.47	1.21
POU5F1P4	0	0.11	0	0.53	0.12	0	0.12	0.36
POU5F1P5	1.14	1.08	0.82	1.04	1.3	1.97	0.29	1.62
POU5F2	0	0.17	0	0	0.09	0	0	0
POU6F1	0.7	0.79	0.55	0.72	0.79	0.89	0.72	1.09
POU6F2	0	0	0.03	0	0	0	0	0
POU6F2-AS1	0	0	0	0	0	0	0	0
PP12613	0	0.05	0	0	0	0.05	0.1	0.05
PP14571	0.19	0.25	0.34	0.52	0.22	0.06	0.32	0.61
PP2D1	0.19	0.26	0	0.13	0.2	0.16	0.2	0
PP7080	8.7	8.98	7.57	6.36	9.61	9.37	9.83	9.51
PPA1	269.45	282.9	220.07	222.51	249.25	237.72	228.83	227
PPA2	54.78	55.93	44.55	38.84	50.65	48.34	50.31	48.85
PPAN	87.12	87.53	68.4	72.62	91.72	86.82	76	80.29
PPAN-P2RY11	0	1.16	0.54	0.63	0.61	0	0	0.48
PPAP2A	10.66	11.64	8.33	10.06	10.01	11.43	7.24	7.61
PPAP2B	0.85	0.44	0.34	0.11	0.28	0.49	0.31	0.06
PPAP2C	65.35	70.15	53.57	48.46	59.14	65.44	42.85	44.68
PPAPDC1A	9.39	6.12	5.6	5.65	8.67	8.56	7.66	9.51
PPAPDC1B	29.49	27.42	23.52	25.16	24.05	23.82	21.23	28.55
PPAPDC2	2.92	2.51	2.36	2.07	2.27	2.9	3.23	2.93
PPAPDC3	0.27	0	0.14	0.05	0.1	0.05	0.16	0.05
PPARA	2.08	2.06	2.49	2.48	2.08	2.07	1.66	2.27
PPARD	32.09	35.05	45.67	45.98	42.19	47.47	57.86	56.42
PPARG	10.12	11	8.75	8.88	9.29	9.05	7.9	7.3
PPARGC1A	0	0.01	0.12	0	0	0	0	0
PPARGC1B	0.98	1.17	0.64	0.65	0.77	0.75	0.56	0.61
PPAT	28.17	30.74	24.31	25.45	27.97	28.3	25.38	26.16
PPBP	0	0	0	0	0	0	0	0
PPBPP2	0	0	0	0	0	0	0	0
PPCDC	11.05	10.6	10.59	12.4	9.05	10.35	10.07	9.88
PPCS	27.66	28.75	26.57	21.7	27.13	32.67	30.25	28.98
PPDPF	264.55	287.86	335.39	318.26	324.7	345.05	387.3	382.26
PPEF1	0	0	0.05	0	0	0	0	0
PPEF1-AS1	0	0	0	0	0	0	0	0
PPEF2	0	0	0.02	0	0	0	0	0.03
PPFIA1	31.89	33.11	29.72	32.17	34.9	33.95	33.93	34.63
PPFIA2	0.52	0.31	0.1	0.19	0.17	0.11	0.13	0.14
PPFIA3	2.03	2.66	1.09	1.34	2.7	2.51	1.47	1.25
PPFIA4	0.31	0.4	0.14	0.12	0.87	0.72	0.24	0.3
PPFIBP1	24.31	25.84	21.04	23.85	19.22	22.24	20.01	19.47
PPFIBP2	0.03	0	0	0.06	0.03	0.04	0	0
PPHLN1	71.88	73.76	65.63	66.04	66.88	69.56	59.69	64.2
PPIA	987.06	983.27	963.62	957.96	921.88	946.33	961.47	937.59
PPIAL4A	0	0	0	0	0	0	0	0
PPIAL4C	0	0	0	0	0	0	0	0
PPIAL4D	0	0	0	0	0	0	0	0
PPIAL4E	0	0	0	0	0	0	0	0
PPIAL4F	0	0	0	0	0	0	0	0
PPIAL4G	0	0	0	0	0	0	0	0
PPIAP30	0.49	0.26	0	0.26	1.38	0	0	0.28
PPIB	757.48	785.67	901.21	830.48	708.95	746.9	842.47	861.49
PPIC	27.11	28.42	26.15	30.18	24.02	24.12	16.96	21.67
PPID	44.78	48.68	60.98	56.33	36.79	32.65	44.43	47.57
PPIE	52.83	50.99	51.68	50.1	49.29	51.85	46.76	50.59
PPIEL	0.14	0.34	0.19	0.42	0.4	0.08	0.28	0.2
PPIF	146.81	145.36	174.14	177.92	114.32	111.42	103.23	113.37
PPIG	51.13	54.43	47.67	50.13	54	55.84	51.44	56.37
PPIH	74.09	69.67	67.35	70.52	65.69	72.19	72.27	69.94
PPIL1	60.25	57.79	62.73	58.95	51.78	51.83	58.09	61.67
PPIL2	28.19	29.69	19.95	21.3	31.2	31.68	25.13	24.95
PPIL3	43.34	43.48	35.75	36.22	36.93	35.68	35.11	41.4
PPIL4	43.88	43.34	39.08	38.69	37.22	36.9	34.75	37.64
PPIL6	0.26	0.27	0.32	0.34	0.55	0.57	0.46	0.41
PPIP5K1	12.97	12.56	10.49	11.2	15.89	15.85	11.7	13.27
PPIP5K2	22.14	24.47	20.19	20.72	20.1	19.99	19.75	19.28
PPL	1	1.24	0.48	0.4	1.12	1.33	0.77	0.74
PPM1A	26.16	25.99	20.53	22.17	24.82	23.69	23.23	23.47
PPM1B	34.19	40.45	40.39	36.63	37.55	41.69	36.01	35.79
PPM1D	14.79	15.76	12.59	13.3	13.46	15.73	12.43	13.96
PPM1E	0.26	0.21	0.21	0.1	0.24	0.16	0.12	0.12
PPM1F	31.65	31.9	29.28	26.89	36.84	38.08	34.98	34.89
PPM1G	255.22	254.12	230.12	226.32	262.55	261.07	232.39	234.9
PPM1H	3.09	3.83	1.68	2.1	4.44	4.37	2.75	2.83
PPM1J	1.51	1.29	0.91	1.62	1.84	2.63	1.05	1.08
PPM1K	5.7	5.19	5.67	6.09	4.8	4.4	4.64	4.72
PPM1L	0.9	0.54	0.7	0.47	1.43	1	0.71	0.7
PPM1M	3.03	3.09	2.43	1.34	3.1	3.88	2.01	1.91
PPM1N	0.7	0.74	0.64	0.23	1.12	1.52	0.72	0.47
PPME1	43.8	47.15	53.92	52.71	47.56	50.58	50.05	51.81
PPOX	12.94	13.59	9.25	8.47	15.88	14.59	9.39	9.21
PPP1CA	274.38	280.27	283.27	273.52	327.21	324.82	312.04	321.07
PPP1CB	66.36	70.74	54.35	56.14	71.9	69.61	66.26	64.79
PPP1CC	200.36	196.71	155.2	164.37	170.93	170.45	171.73	165.04
PPP1R10	29.69	29.18	51.76	54.62	36.68	37.84	46.31	47.73
PPP1R11	62.17	52.93	52.2	49.54	48.69	52.89	52.58	54
PPP1R12A	36.68	39.88	38.8	43.99	35.9	37.77	40.7	39.61
PPP1R12B	4.07	4.09	2.68	3.37	4.93	4.27	3.64	2.87
PPP1R12C	50.42	50.54	49.82	50.68	66.19	67.76	56.9	58.73
PPP1R13B	2.92	2.53	2.35	3.15	2.82	3.54	3.62	3.63
PPP1R13L	23.79	24.12	23.06	21.9	34.73	35.08	26.92	27.18
PPP1R14A	1.85	1.8	1.11	0.87	0	0.4	0.19	0.39
PPP1R14B	314.19	292.17	283.31	270.09	390.07	390.39	393.03	380.43
PPP1R14C	0.04	0	0	0	0.05	0	0.05	0
PPP1R14D	0	0	0	0	0	0	0	0
PPP1R15A	81.39	82.38	166.24	182.51	70.6	74.57	139.67	124.64
PPP1R15B	23.55	24.57	24.57	26.28	27.48	24.46	28.37	26.5
PPP1R16A	37.99	39.52	40.18	37.15	51.96	55.36	52.05	46.29
PPP1R16B	0	0	0	0	0	0	0.02	0
PPP1R17	0.22	0	0	0	0.06	0	0	0
PPP1R18	68.01	67.94	104.13	107.14	61.78	64.01	83.36	80.57
PPP1R1A	0	0	0	0	0	0	0	0
PPP1R1B	0	0	0	0	0	0	0	0.08
PPP1R1C	0.1	0	0.17	0.21	0.03	0.25	0	0
PPP1R2	26.71	27.28	21.35	20.09	24.78	23.08	21.37	20.74
PPP1R21	6.94	6.78	6.83	7.2	6.42	6.84	6.12	5.81
PPP1R26	11.85	10.87	11.78	11.78	14.8	15.52	11.69	12.64
PPP1R26-AS1	1.1	1.5	0.51	0.65	0.96	1.05	0.89	1.24
PPP1R27	0.16	0	0.13	0	0	0	0.37	0.37
PPP1R2P3	0	0	0	0.05	0	0.06	0	0
PPP1R2P9	0	0	0	0	0	0	0	0
PPP1R32	0.07	0.14	0.11	0.2	0.08	0.08	0.08	0.24
PPP1R35	22.11	24.21	12.25	12.11	33.37	33.06	20.09	22.84
PPP1R36	0.22	0.71	0.53	0.82	0.42	0.53	0.92	0.43
PPP1R37	34.14	35.19	26.68	28.19	39.95	43.01	29.47	33.73
PPP1R3A	0	0	0	0	0	0	0	0
PPP1R3B	7.5	8.26	10.34	9.44	5.17	6.37	8.13	7.32
PPP1R3C	7.53	6.6	3.13	3.05	4.6	4.24	2.58	3.54
PPP1R3D	4.48	4.94	4.68	4.48	7.01	5.54	6.62	6.09
PPP1R3E	3.33	3.02	1.32	1.5	3.26	4.02	2.07	1.99
PPP1R3F	1.95	2.57	3.66	4.66	3.82	5.26	4.05	4.44
PPP1R3G	1.26	1.58	0.94	0.68	3.24	2.32	0.52	1.13
PPP1R42	0	0.44	0	0	0.12	0.12	0.24	0
PPP1R7	51.94	57.19	57.5	53.71	50.02	49.22	50.87	47.35
PPP1R8	55.62	54.93	44.75	45.86	53.09	54.52	50.75	52.99
PPP1R9A	4.76	5.64	4.32	5.2	5.76	5.69	5.14	5.1
PPP1R9B	30.75	33.22	31.72	31.11	37.96	40.49	34.65	35.3
PPP2CA	191.77	203.83	176.51	172.39	170.15	176.23	172.03	172.7
PPP2CB	200.49	202.79	248.51	260.2	174.91	174.77	212.91	210.92
PPP2R1A	177.12	185.22	196.87	192.42	201.03	205.37	200.42	200.65
PPP2R1B	34.54	39.15	29.47	36.15	34.29	33.08	39.28	39.32
PPP2R2A	60.4	60.03	70.78	68.96	52.15	52.5	60.36	60.55
PPP2R2B	0.61	0.45	0.28	0.18	0.4	0.69	0.61	0.51
PPP2R2B-IT1	0	0	0	0	0	0	0	0
PPP2R2C	0.04	0	0.02	0	0.02	0	0	0
PPP2R2D	14.92	15.5	14.4	14.98	15.17	15.76	16.03	15.9
PPP2R3A	9.01	10.81	8.56	8.31	10.79	10.84	9.41	10.35
PPP2R3B	6.11	7.22	6.63	5.61	9.8	7.68	7.61	9.13
PPP2R3C	27.25	30.35	26.9	28.46	25.06	26.63	25.09	25.26
PPP2R4	111.72	111.03	119.18	122.03	137.04	135.53	139.27	140.81
PPP2R5A	22.15	25.63	24.94	21.49	23.55	24.53	24.12	23.34
PPP2R5B	12.1	12.61	9.45	10.76	13.24	11.61	11.12	12.54
PPP2R5C	31.5	35.85	27.9	29.28	33.08	31.13	31.19	32.49
PPP2R5D	55.13	55.42	53.25	53.61	65.92	66.85	62.98	64.31
PPP2R5E	40.46	45.9	42	41.77	44.99	45.79	47	45.13
PPP3CA	25.55	28.27	23.26	25.31	27.52	28.84	22.55	23.22
PPP3CB	23.71	26.66	20.46	20.12	23.84	25.04	20.41	21.67
PPP3CB-AS1	2.01	1.06	0.74	0.6	1.07	1.93	1.01	1.36
PPP3CC	42.52	42.39	44.99	43.04	34.58	32.64	38.06	38.23
PPP3R1	65.22	68.33	67.52	70.05	60.07	63.26	68.99	64.87
PPP3R2	0	0	0	0.03	0	0	0	0
PPP4C	177.73	166.42	161.66	161.01	190.15	198.61	177.62	176.51
PPP4R1	31.63	32.43	30.17	31.15	30.26	33.12	31.74	34.45
PPP4R1-AS1	0	0	0	0	0	0	0	0
PPP4R1L	7.61	6.98	7.17	6.86	7.25	7.73	8.64	6.2
PPP4R2	33.52	36.02	34.3	32.23	31.96	35.47	37.65	36.41
PPP4R3A	20	19.95	17.71	17.42	20.4	21.82	20.97	21.62
PPP4R3B	26.9	27.2	27.97	27.96	24.12	23.6	26.5	28.8
PPP4R3CP	0	0	0	0	0	0	0	0
PPP4R4	0.05	0	0	0	0.15	0.08	0	0
PPP5C	88.21	85.61	73.04	71.37	98.29	91.79	76.75	78.09
PPP5D1	0	0.18	0.28	0.26	0.59	0.21	0.69	0.2
PPP6C	31.16	33.57	28.21	29.32	29.91	26.59	27.18	28.58
PPP6R1	69.52	69.27	71.33	75.45	81.73	84.5	77.61	79.65
PPP6R2	28.75	28.13	24.07	23.52	36.28	38.86	29.87	30
PPP6R3	46.42	48.61	45.3	47.17	49.47	51.1	50.49	50.91
PPRC1	34.41	33.44	31.71	36.22	41.33	47.35	37.33	37.15
PPT1	78.45	76.41	65.78	66.24	71.58	72.02	70.77	66.45
PPT2	31.9	31.24	27.23	27.71	31.35	31.84	29.3	28.32
PPT2-EGFL8	7.11	9.74	3.73	4.73	12.08	12.54	5.61	7.01
PPTC7	14.09	12.52	14.53	18.23	12	10.47	12.61	14.38
PPWD1	32.1	36.57	27.34	27.82	32.23	36.75	28.46	28.91
PPY	0	0	0	0	0	0	0	0
PPY2P	0	0	0.56	0	0	0	0	0
PQBP1	170.5	161.96	163.7	173.79	164.68	172.15	149.97	158.26
PQLC1	11.98	12.45	11.64	11.89	15.65	15	15.18	16.85
PQLC2	20.66	25.94	20.04	21.78	23.29	23.87	25.17	22.33
PQLC2L	2.82	3.48	1.63	1.94	1.57	1.72	0.28	0.29
PQLC3	9.01	8.43	8.81	6.82	9.72	6.79	8.04	7.72
PRAC1	0	0	0	0	0	0	0	0
PRAC2	0	1.97	0	0	0.41	0	0	0
PRADC1	28.78	39.2	36.2	33.01	36.87	34.54	40.79	40.67
PRAF2	33.96	37.26	36.55	41.13	40.36	36.66	33.65	32.98
PRAM1	0.13	0.18	0.07	0.04	0.1	0.05	0.15	0.05
PRAME	0.05	0.1	0.04	0	0.05	0	0	0.05
PRAMEF1	0	0	0	0	0.08	0.17	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0.04	0	0.13	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0.1	0	0	0	0	0
PRAMEF22	0	0.08	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0.04
PRAMEF8	0	0	0	0	0	0	0	0.04
PRAMEF9	0	0	0	0	0	0	0	0
PRAP1	0	1.08	0.15	0.17	0.61	0.6	0.19	0
PRB1	0	0	0	0	0	0	0	0
PRB2	0	0	0	0	0.08	0	0	0
PRB3	0	0	0	0	0	0	0	0
PRB4	0	0	0	0	0	0	0	0
PRC1	143.71	150.53	139.26	136.92	162.58	162.11	155.9	159.05
PRC1-AS1	0	0.44	0.11	0.48	0.16	0.41	0.23	0.32
PRCAT47	0.13	0.41	0.17	0.09	0.29	0.41	0.05	0.1
PRCC	77.85	87.75	82.49	90.59	98.9	100.62	95.65	92.81
PRCD	0	0.05	0.08	0	0.17	0.06	0.06	0.17
PRCP	62.98	63.07	58.46	57.82	58	55.4	53.33	57.16
PRDM1	0.2	0.26	0.08	0.23	0.29	0.32	0.1	0.12
PRDM10	6.44	7.04	5.13	5.83	7.47	6.64	6.33	6.54
PRDM11	2	2.34	1.4	1.21	1.85	1.38	2.14	0.86
PRDM12	0.75	0.32	0.09	0.11	0.26	0.27	0.25	0.26
PRDM13	0	0	0	0.03	0	0	0	0
PRDM14	0	0	0	0	0	0	0	0
PRDM15	4.92	4.74	3.54	3.62	6.38	5.67	4.64	5.16
PRDM16	0	0	0.02	0	0	0	0.01	0
PRDM2	13.8	15.01	13.46	13.41	14.38	14.49	15.11	14.24
PRDM4	23.37	24.82	24.22	26.04	23.38	24.17	23.32	23.1
PRDM5	2.59	2.73	1.75	2.13	3.18	2.52	2.39	2.48
PRDM6	0.06	0.06	0.07	0.06	0	0.11	0.03	0.14
PRDM7	0	0.03	0.02	0.03	0.06	0	0	0.1
PRDM8	4.59	5.35	3.94	4.23	5.66	6.03	5.3	5.71
PRDM9	0.03	0.25	0	0	0	0.03	0.07	0.03
PRDX1	1182.31	1145.22	1317.3	1323.39	868.21	904.52	921.64	969.52
PRDX2	276.15	273.91	305.04	320.42	315.23	309.47	299.65	328.83
PRDX3	247.21	271.65	236.11	236.46	253.56	249.53	244.52	244.85
PRDX4	156.21	179.8	187.4	191.5	145.43	145.9	152.2	149.46
PRDX5	333.68	345.93	365.44	395.18	333.23	353.29	323.47	339.96
PRDX6	230.48	233.84	243.7	229.98	205.86	195.05	208.62	209.67
PREB	57.55	55.49	53.83	47.69	56.66	57.43	54	52.34
PRELID1	377.96	379.78	418.42	426.4	426.56	443.99	450.4	463.4
PRELID2	3.13	3.28	1.87	2.3	3.62	3.44	2.53	2.81
PRELP	0.04	0.03	0.01	0.09	0	0.11	0.08	0.03
PREP	27.65	26.52	22.37	21.37	26.93	26.38	24.18	22.32
PREPL	37.19	40.45	33.07	32.47	31.39	32.05	27.67	28.49
PREX1	9.54	9.8	10.76	10.37	8.24	9.02	8.01	7.77
PREX2	0	0	0	0	0	0	0	0
PRF1	0	0	0	0.04	0.08	0	0	0
PRG1	0	1.29	1.81	1.8	0.45	0	0.91	0.46
PRG2	0.22	0.16	0.12	0.07	0.33	0	0.49	0
PRG3	0	0	0	0	0	0	0	0
PRG4	0.02	0	0.13	0.06	0.06	0	0.02	0.02
PRH1	1.3	3.48	1.79	2.41	2.28	3.65	3.58	1.61
PRH1-PRR4	3.18	0.78	0.36	0.32	2.51	2.19	0.43	2.8
PRH2	0.14	0.21	0.18	0.11	0.21	0.2	0.12	0.17
PRICKLE1	3.52	4.15	4.13	3.45	2.95	3.66	2.57	2.45
PRICKLE2	1.13	1.44	0.91	0.99	1.7	1.68	0.88	0.99
PRICKLE2-AS1	0.05	0	0	0	0	0.03	0	0
PRICKLE2-AS2	0	0.17	0	0	0	0	0	0
PRICKLE2-AS3	0	0.16	0.02	0.06	0	0.04	0	0
PRICKLE3	2.58	3.67	2.65	1.89	3.85	3.27	1.56	2.45
PRICKLE4	3.04	3.29	2.34	2.68	3.25	2.98	2.41	2.62
PRIM1	29.79	29.82	14.32	14.49	26.36	27.06	16.56	19.15
PRIM2	46.95	47.14	37.13	41.97	37.9	34.99	30.44	34.65
PRIMA1	0	0	0	0	0	0	0	0
PRIMPOL	11.1	12.01	10.55	9.84	10.99	10.83	9.57	10.38
PRKAA1	51.78	53.24	31.84	33.75	43.27	42.52	35.19	33.85
PRKAA2	1.5	2.12	1.22	1.32	1.45	1.17	0.89	0.84
PRKAB1	26.63	28.06	33.62	34.54	25.51	25.97	31.4	35.37
PRKAB2	10.98	11.18	10.61	10.63	10.36	10.29	10.26	11.2
PRKACA	91.61	95.1	100.13	88.55	134.22	125.01	121.99	121.55
PRKACB	10.7	9.55	7.42	6.89	8.08	8.74	7.8	8.23
PRKACG	0	0	0	0	0	0	0	0
PRKAG1	75.37	63.21	65.44	65.52	59.94	58.73	55.44	60.31
PRKAG2	36.95	34.6	28.12	29.11	31.58	32.02	29.7	28.56
PRKAG2-AS1	0	0	0.13	0	0.19	0.39	0	0
PRKAG3	0	0	0	0	0	0	0	0
PRKAR1A	154.75	152.37	149.85	163.69	141.72	145.09	158.49	153.54
PRKAR1B	21.87	22.32	17.72	21.6	24.18	26.76	21.6	21.62
PRKAR2A	19.37	20.57	14.86	16.3	23.15	21.31	20.27	23.07
PRKAR2A-AS1	0.4	0.5	0.14	0.23	0.5	0.29	0.24	0.19
PRKAR2B	3.98	3.77	1.77	1.94	3.32	2.76	1.69	1.54
PRKCA	30.46	28.73	29.01	29.32	42.25	43.11	38.56	39.72
PRKCA-AS1	0	0	0	0	0.09	0.18	0	0
PRKCB	0	0	0	0	0	0	0	0
PRKCD	8.62	8	9.62	8.07	6.66	6.8	6.53	7.56
PRKCDBP	49.72	68.8	67.14	55.29	73.26	77.5	82.22	81.97
PRKCE	6.44	5.9	4.48	5.15	6.05	6.23	5.59	4.95
PRKCG	0.26	0.28	0.16	0.32	0.1	0.1	0.3	0.17
PRKCH	0.83	1.01	0.48	0.18	0.5	0.44	0.08	0.24
PRKCI	29.61	30.16	20.48	21.62	25.5	26.48	20.78	20.8
PRKCQ	0.28	0.35	0.23	0.15	0.5	0.63	0.28	0.39
PRKCQ-AS1	3.16	4.16	2.53	3.05	4.62	4.58	3.77	3.56
PRKCSH	453.44	450.82	449.37	470.31	457.76	476.2	450.06	470.58
PRKCZ	13.73	18.04	18.64	16.52	22.4	16.69	17.24	19.02
PRKD1	0.44	0.28	0.09	0.51	0.31	0.53	0.22	0.14
PRKD2	18.56	24.75	33.13	34.19	29.13	29.26	33.78	34.86
PRKD3	17.49	19.78	13.54	13.51	17.85	17.52	12.4	14.22
PRKDC	141.43	156.1	104	111.81	163.9	168.32	134.49	140.29
PRKG1	0.3	0.31	0.25	0.37	0.66	0.61	0.64	0.49
PRKG1-AS1	0.73	1	0.37	0.5	0.3	0.71	0.23	0.57
PRKG2	0.68	0.58	0.28	0.13	0.35	0.24	0.24	0.06
PRKRA	33.23	34.27	28.58	31.76	30.47	32.46	32.96	31.37
PRKRIP1	22.99	21.54	25.98	23.05	27.29	24.69	23.2	27.04
PRKRIR	42.64	47.18	34.47	34.37	43.57	42.33	40.79	42.65
PRKX	5.13	4.92	4.3	4.39	6.34	5.4	5.35	5.13
PRKX-AS1	0	0	0	0	0	0	0	0
PRKXP1	1.06	0.9	1.09	1.25	0.94	0.9	1.06	0.89
PRKY	0	0	0	0	0	0	0	0
PRL	0	0	0	0	0	0	0	0
PRLH	0	0	0	0	0	0	0	0
PRLHR	0	0	0	0	0	0	0	0
PRLR	0.73	0.84	0.36	0.45	0.41	0.26	0.74	0.88
PRM1	0	0	0	0	0	0	0	0
PRM2	0	0	0	0	0	0	0	0
PRM3	0	0	0	0	0	0	0	0
PRMT1	410.75	417.68	451.75	460.83	517.43	537.13	524.06	521.37
PRMT2	78.44	84.02	67.82	67.88	83.82	83.19	71.05	75.23
PRMT3	25.3	30.82	28.59	24.26	25.99	25.78	28.16	28.09
PRMT5	152.34	168.31	150.12	154.75	163.32	171.66	153.47	161.52
PRMT5-AS1	0.41	0.33	0.64	0.7	0.58	0.25	0.53	0.67
PRMT6	27.29	24.69	24.28	22.24	28.27	28.27	25.96	27.08
PRMT7	24.42	25.66	17.51	15.27	24.13	24.06	18.12	20.47
PRMT8	0	0	0	0	0	0	0	0
PRMT9	7.97	7.97	7.91	7	7.83	9.43	7.22	7.6
PRNCR1	0	0.01	0.01	0	0.01	0	0.02	0
PRND	0	0	0	0	0	0	0	0
PRNP	341.36	335.16	437.31	453.57	239.44	243.7	327.42	314.53
PRNT	0	0	0	0	0	0	0	0
PRO1804	0.05	0.15	0	0	0.11	0.11	0	0
PROB1	6.23	6.07	5.56	4.87	8.94	9.25	6.66	8.54
PROC	0	0	0	0	0.06	0.07	0	0.32
PROCA1	1.6	0.88	0.92	0.55	1.26	1.71	0.63	1.17
PROCR	92.49	92.06	91	92.65	68.46	68.4	69.31	73.66
PRODH	0.31	0.31	0.38	0.29	0.44	0.05	0.26	0.17
PRODH2	0	0	0	0	0	0	0	0
PROK1	0	0	0	0	0	0	0	0
PROK2	0	0	0	0	0	0	0	0
PROKR1	0	0	0	0	0	0	0	0.11
PROKR2	0	0	0	0	0	0	0	0
PROL1	0	0	0	0	0	0	0	0
PROM1	0.02	0	0	0	0.05	0	0.03	0
PROM2	0.95	0.97	0.73	0.5	1.4	1.34	0.84	1.1
PROP1	0	0	0	0	0	0	0	0
PRORSD1P	1.02	1.22	0.93	0.79	1.41	1.8	1.05	1.29
PRORY	0	0	0	0	0	0	0	0
PROS1	0	0	0.02	0.02	0.06	0	0	0.03
PROSC	39.47	38.94	40.05	41.61	37.64	33.78	40.28	40.32
PROSER1	19.39	19.79	18.99	19.64	21.57	23.11	19.66	20.85
PROSER2	11.42	12.81	10.42	9.17	7.16	6.89	6.91	6.13
