	day0-WT_1	day0-WT_2	day1-WT_1	day1-WT_2	day0-KO_1	day0-KO_2	day1-KO_1	day1-KO_2
Psmc3	268.01	285.99	189.66	196.81	244.02	255.71	203.79	201.48
Psmc3ip	11	10.61	12.07	12.21	15.26	20.75	13.55	10.81
Psmc4	151.54	168.82	139.49	140.84	155.41	164.87	145.72	138.87
Psmc5	191.64	206.99	175.15	174.52	204.09	206.2	173.59	176.05
Psmc6	179.79	173.58	137.77	148.58	198.03	197.04	155.74	158.07
Psmd1	138.85	137.5	110.1	107.56	146.39	139.56	110.04	114.73
Psmd10	44.64	46.32	29.41	32.7	40.03	45.84	35.14	35.85
Psmd11	113.05	112.13	108.85	105.86	116.15	115.06	100.36	107.86
Psmd12	87.67	85.25	90.24	86.97	105.41	106.71	87.13	89.26
Psmd13	167.66	169.19	132.77	135.15	150.25	153.91	137.95	135.07
Psmd14	164.03	143.08	119.66	119.79	152.59	158.8	113.01	114.47
Psmd2	307.36	267.99	246.76	241.97	285.13	275.59	243.17	247.58
Psmd3	151.79	151.87	134.33	133.59	150.01	154.72	135.46	134.65
Psmd4	196.72	217.94	167.54	179.19	175.9	191.75	177.37	179.06
Psmd5	56.17	47.16	42.76	43.92	50.47	49.81	43.17	39.34
Psmd6	203.94	200.49	146.81	158.05	178.2	175.79	153.53	152.13
Psmd7	203.75	208.38	169.47	174.29	204.79	208.43	175.98	177.27
Psmd8	291.77	296.62	163.91	162.22	292.55	320.47	170.97	165.67
Psmd9	30.06	32.36	26.55	27.66	25.31	27.43	29.04	26.86
Psme1	129.21	129.31	67.74	69.98	121.04	124.21	68.37	69.56
Psme2	179.14	182.21	96.83	101.04	159.26	176.91	99.12	96.75
Psme2b	8.42	7.29	3.56	3.21	8.58	7	3.45	5.93
Psme3	99.69	90.09	103.69	102.77	99.78	102.29	95.72	103.27
Psme4	49.39	41.99	79.5	74.41	55.95	50.02	66.78	75.24
Psmf1	18.97	18.77	21.49	19.5	21.36	20.93	20.22	21.13
Psmg1	61.86	60.76	47.71	56.14	48.61	52.27	57.17	62.1
Psmg2	45	51.57	53.78	50.47	47.57	44.14	50.63	49.77
Psmg3	38.02	41.77	31.95	29.61	27.56	28.82	32.07	30.87
Psmg4	23.44	28.24	24.11	28.99	33.23	39.3	29.74	25.49
Psors1c2	0.14	0	0	0.15	0	0	0	0.16
Pspc1	25.7	23.72	14.44	13.88	26.22	25.93	14.46	14.69
Psph	96.84	94.09	50.78	49.95	96.8	103.38	51.89	54.56
Pspn	0.54	0.54	0.6	0.3	0	0.91	0	0.6
Psrc1	15.65	18.66	21.75	20.88	16.45	18.92	21.6	22.88
Pstk	30.52	26.9	30.93	32.77	19.87	21.7	31.55	32.15
Pstpip1	6.89	7.25	1.36	1.81	13.18	14.8	1.87	2.23
Pstpip2	1.28	1.09	1.87	2.23	2.78	2.73	2.25	2.85
Ptafr	2.27	1.3	0.76	0.55	4.23	1.81	1.21	1.37
Ptar1	9.6	6.2	9.26	8.33	11.3	10.4	9.35	9.4
Ptbp1	241.64	248.37	199.55	191.13	312.39	305.39	192.59	205.97
Ptbp2	20.55	18.8	14.6	14.49	21.15	23.72	13.93	15.04
Ptbp3	53.13	47.13	38.42	37	64.15	53.88	38.23	43.01
Ptcd1	13.9	14.33	20.35	21.3	16.46	15.59	19.91	19.58
Ptcd2	22.99	22.93	31.28	33.14	26.92	27.23	31.21	36.16
Ptcd3	39.17	36.69	53.1	49.75	48.83	45.74	48.17	54.43
Ptch1	5.83	4.48	8.68	7.04	6.03	5.93	6.32	7.17
Ptch2	3.77	3.96	2.04	1.61	4.04	3.29	2.4	2.14
Ptchd1	0.07	0.14	0.09	0.06	0.15	0.15	0.08	0.04
Ptchd2	0.02	0.03	0.11	0.07	0.01	0.04	0.04	0.01
Ptchd3	0	0	0	0	0	0.04	0	0
Ptchd4	1.68	1.35	0.65	0.68	2.22	2.07	0.86	0.81
Ptcra	0	0	0.1	0	0	0.1	0.08	0
Ptdss1	52.1	45.81	47.76	47.4	50.17	49.3	44.32	47.67
Ptdss2	31.87	28.65	32.48	34.49	27.36	27.4	33.98	32.79
Pten	53.82	46.28	66.48	66.19	52.16	49.2	63.45	70.08
Pter	7.78	7.39	8.72	7.81	8.39	8.57	8.29	9.22
Ptf1a	0	0	0	0	0	0	0	0
Ptf1aos	0	0	0	0	0	0	0	0
Ptgdr	0	0	0	0	0	0	0	0
Ptgdr2	0	0.04	0	0	0	0	0	0
Ptgds	0	0.15	0	0	0	0	0	0
Ptger1	15.43	16.73	13.55	14.1	15.6	15.88	10.48	11.7
Ptger2	0.17	0.38	0.85	0.39	0.35	0.49	1.06	1.1
Ptger3	0.22	0.17	0.37	0.61	0.24	0.25	0.67	0.43
Ptger4	4.24	4.05	2.22	2.58	3.47	4.47	2.46	2.32
Ptges	41.33	37.46	58.53	57.92	36.68	34.42	56.27	59.81
Ptges2	20.57	22.72	19.68	19.04	22.58	22.18	20.08	21.25
Ptges3	255.18	215.91	172.52	179.33	255.76	255.65	181.61	182.52
Ptges3l	16.48	18.58	6.5	7.9	11.01	12.69	8.42	7.03
Ptgfr	2.7	2	6.96	6.89	1.97	1.99	6.56	7.98
Ptgfrn	78.72	67.65	57.16	52.86	94.24	88.81	58.12	59.08
Ptgir	16.99	17.27	8.83	9.32	17.07	18.34	10.3	11.1
Ptgis	142.84	143.5	72.08	71.37	151.57	151.91	84.95	82.91
Ptgr1	44.73	47.54	31.37	33	39.06	41.81	36.1	33.36
Ptgr2	30.56	28.7	37.22	38.21	30.43	30.89	35.9	39.88
Ptgs1	34.36	27.38	8.84	8.67	59.11	55.3	16.31	16.05
Ptgs2	14.47	12.42	10.23	9.84	41.69	33.8	15.78	15.49
Ptgs2os	0.44	0.56	0.25	0.08	0.84	0.54	0.45	0.25
Ptgs2os2	2.7	2.07	0.43	0.57	3.86	4.52	0.78	1
Pth	0	0	0	0	0	0	0	0
Pth1r	37.98	40.25	25.83	27.19	34.9	32.71	25.28	24.25
Pth2	0	0	0	0	0	0	0	0
Pth2r	0.05	0.09	0.05	0.15	0	0	0.17	0.05
Pthlh	0.15	0.15	0.08	0.08	0	0.08	0.28	0.33
Ptk2	47.92	42.96	39.17	39.33	50.08	45.36	37.05	40.11
Ptk2b	12.07	10.58	2.76	2.71	13.42	11.99	3.5	3.98
Ptk6	0	0	0	0.05	0	0	0	0
Ptk7	30.9	29.48	28.02	26.23	43.84	41.94	29.89	31.27
Ptma	2101.69	2012.86	1560.84	1600.1	1842.69	1835.93	1689.12	1558.63
Ptms	1049.48	1020.19	632.09	657.1	694.49	746.44	719.91	645.88
Ptn	1.32	1.45	4.39	4.9	1.32	1.19	5.47	5.48
Ptov1	127.44	133.38	98.37	100.37	103.86	102.92	90.15	96.78
Ptp4a1	12.53	14.33	14.05	16.93	15.94	16.02	15.7	17.55
Ptp4a2	219.78	207.98	157.82	158.56	207.24	195.9	154.65	162.87
Ptp4a3	13.84	14	11.26	10.25	17.23	17.95	10.37	11.88
Ptpdc1	11.05	10.66	10.21	9.46	9.9	9.48	9.14	10.72
Ptpmt1	38.56	41.86	29.83	29.64	39.45	42.09	29.19	29.03
Ptpn1	33.29	29.78	41.36	39.2	37.69	33.71	36.19	39.06
Ptpn11	123.2	99.66	89.18	83.36	108.81	103.44	83.24	82.64
Ptpn12	60.29	57.23	66.7	66.08	83.41	81.01	62.01	67.1
Ptpn13	11.3	9.5	14.8	13.64	12.47	11.7	12.76	13.45
Ptpn14	11.57	9.47	8.23	6.61	12.11	10.99	6.32	6.72
Ptpn18	0.64	1.16	0.32	0.4	1.02	1.14	1.01	0.72
Ptpn2	36.26	36.15	44.01	46.21	40.81	45.02	45.75	44.27
Ptpn20	0	0.04	0.04	0.08	0.08	0	0.07	0.04
Ptpn21	18.66	17.19	8.4	6.67	19.55	17.95	7.58	8.13
Ptpn22	0.24	0.16	0.5	0.36	0.13	0.32	0.23	0.36
Ptpn23	34.08	34.84	29.81	26.39	40.64	35.43	25.81	27.31
Ptpn3	2.74	2.05	3.46	3.54	2.92	3	2.94	3.39
Ptpn4	2.99	1.99	4.68	4.14	3.59	3	4.15	3.75
Ptpn5	28.78	26.56	12.26	10.48	13.91	14.61	9.8	9.43
Ptpn6	2.45	1.67	1.07	0.67	3.93	3.46	2.01	1.51
Ptpn7	1.01	0.81	0.19	0.15	0.62	0.73	0.41	0.38
Ptpn9	47.43	39.4	36.3	33.7	54.97	52.16	33.37	38.39
Ptpra	78.75	78.43	104.37	94.75	91.76	83.56	92.99	98.58
Ptprb	2.35	1.78	0.97	0.86	2.67	2.62	0.93	1.06
Ptprc	2.48	1.9	1	1.34	3.68	2.93	2.16	2.04
Ptprcap	0.56	1.26	0.62	0	0.76	0.47	0.13	0.31
Ptprd	2.15	2.45	4.81	4.45	1.98	2.19	3.42	4.5
Ptpre	1.53	1.44	1.17	1.05	2.96	3.19	1.19	1.73
Ptprf	17.12	13.9	4.58	4.16	19.98	17.78	5.69	5.9
Ptprg	18.85	16.04	34.72	31.61	22.97	20.62	27.33	30.86
Ptprh	0	0	0	0	0	0	0	0
Ptprj	8.84	7.03	15.84	14.33	11.59	10.07	14.4	14.98
Ptprk	6.26	5.27	7.61	6.88	7.39	8.24	7.33	7.66
Ptprm	20.72	17.91	25.48	23.23	24.85	23.33	21.66	24.8
Ptprn	36.62	38.21	92.98	90.9	49.61	46.58	84.35	91.59
Ptprn2	0	0.05	0	0.05	0.03	0.03	0.07	0.03
Ptpro	0.24	0.14	0.12	0.09	0.35	0.39	0.03	0.18
Ptprq	0	0.02	0	0	0.03	0.02	0.03	0.05
Ptprr	0.08	0.13	0	0	0.05	0.05	0.08	0
Ptprs	69.19	56.8	93.86	82.45	73.68	67.97	84.5	88.65
Ptprt	0.01	0	0.01	0	0.01	0	0	0
Ptprtos	0	0	0	0	0	0	0	0
Ptpru	6.38	5.19	9.52	9.36	7.72	7.26	10.09	11.32
Ptprv	0.13	0.2	0.08	0.04	0.1	0.18	0.18	0.08
Ptprz1	1.6	1.44	0.09	0.16	1.76	1.42	0.05	0.09
Ptrf	349.16	333.47	304.5	297.64	261.71	274.17	259.2	264.55
Ptrh1	71.06	73.65	53.34	51.23	73.76	71.49	63.35	62.84
Ptrh2	23.08	26.17	18.05	18.72	22.56	23.9	19.52	18.02
Ptrhd1	2.94	3.03	2.19	1.75	2.8	2.91	1.69	1.86
Pts	15.73	18.47	23.53	24.17	15.59	14.81	21.43	22.93
Pttg1	53.62	54.63	32.86	36.12	37.04	39.86	40.08	34.52
Pttg1ip	189.56	169.8	220.12	218.18	163.43	162.28	198.39	223.88
Ptx3	1525.94	1233.41	2201.05	2258.17	1460.02	1544.27	2197.54	2053.61
Ptx4	0.15	0	0	0.08	0	0	0	0.08
Puf60	134.46	145.07	108.13	100.62	138.62	139.67	107.3	109.4
Pum1	42.4	38.95	51.9	47.8	47.86	42.37	44.81	49.5
Pum2	61.12	57.52	62.11	58.77	70.47	61.76	56.23	64.33
Pura	26.78	32.77	26.1	21.16	29.38	29.98	23.9	24.65
Purb	31.71	27.94	32.92	31.91	35.64	30.22	31.33	34
Purg	11.64	8.97	13.94	14.87	11.26	11.6	13.56	15.04
Pus1	50.43	44.68	36.33	40.35	44.21	46.81	36.08	36.3
Pus10	17.26	15.85	17.59	15.38	18.23	16.64	15.73	17.3
Pus3	9.69	10.95	17.15	16.18	12.39	11.75	15.36	15.09
Pus7	19.39	18.22	28.24	26.56	24.77	25.27	24.45	27.07
Pus7l	7.12	6.99	6.94	8.12	8.57	8.74	8.15	7.09
Pusl1	30.87	28.64	16.6	18.43	24.58	25.76	17.39	15.64
Pvalb	0	0	0	0.14	0.14	0.15	0	0
Pvr	47.06	46.45	38.63	36.52	68.84	66.55	37.83	41.74
Pvrl1	17.58	15.57	15.57	14.82	18.48	16.8	14.6	15.36
Pvrl2	126.72	128.55	74.69	75.63	127.25	131.74	76.55	75.82
Pvrl3	34.08	31.27	31.37	30.98	34.18	35.54	28.32	31.14
Pvrl4	0.32	0.16	0.22	0.36	0.85	0.4	0.29	0.71
Pvt1	7.23	7.62	9.55	10.37	6.32	5.89	9.18	9.99
Pwp1	41.13	41.03	32.3	34.26	42.27	42.29	34.35	34.88
Pwp2	21.03	17.11	22	20.44	21.25	21.49	18.93	18.34
Pwwp2a	11.53	10.01	14.53	15.67	12.49	11.32	13.51	14.81
Pwwp2b	9.92	11.04	5.13	4.75	11.46	10.95	5.91	5.65
Pxdc1	14.27	11.93	6.16	6.03	17	15.31	8.33	7.6
Pxdn	66.26	57.82	38.03	37.68	86.52	82.12	38.49	41.45
Pxk	27.25	28.93	54.27	50.82	45.43	41.7	47.93	50.04
Pxmp2	4.32	3.32	1.78	1.39	2.73	2.84	2.66	2.41
Pxmp4	10.89	10.53	28.18	31.72	13.19	12.14	27.93	33.3
Pxn	24.03	23.59	31.48	28.58	32.9	34.47	33.02	32.1
Pxt1	0	0	0	0	0	0.13	0.11	0
Pxylp1	22.03	21.9	22.24	18.7	24.55	24.69	17.48	18.61
Pycard	7.13	7.67	3.56	2.6	9.09	7.03	4.05	4.54
Pycr1	19.91	16.7	11.36	10.28	19.84	19.47	11.26	9.92
Pycr2	33.01	32.67	45.55	47.3	30.11	32.66	47.86	44.33
Pycrl	30.29	32.26	25.04	26.47	28.3	34.94	24.05	24.93
Pydc3	0.36	0.11	0.54	0.48	0.88	0.67	0.31	0.73
Pydc4	0.05	0.04	0	0.1	0.18	0.27	0.04	0.11
Pygb	51.35	45	40.11	39.65	43.38	43.7	36.19	41.42
Pygl	46.73	47.7	51.45	50.69	53.47	51.06	56.07	56.63
Pygm	0.62	0.35	0.83	1.03	1.95	2.11	2.18	3.2
Pygo1	2.89	4.34	3.89	3.28	5.12	4.96	3.13	2.8
Pygo2	45.52	45.44	38.78	41.73	38.45	40.41	40.88	45.65
Pyhin1	0.44	0.54	0.81	0.98	1.57	1.39	1.15	1.23
Pyroxd1	13.55	11.68	10.73	11.17	12.56	10.42	11.54	12.7
Pyroxd2	10.61	11.06	19.37	19.07	8.65	9.08	14.76	16.45
Pyurf	7.48	6.8	5.82	5.45	5.73	5.89	6.42	5.48
Pyy	0	0	0	0	0	0	0	0
Pzp	0	0	0.03	0	0	0	0.02	0
Qars	95.12	86.04	131.8	129.92	99.37	95.73	125.14	131.21
Qdpr	72.93	72.37	92.49	88.42	58.48	54.43	90.64	79.09
Qk	99.17	90.96	107.72	108.57	117.92	109.87	100.19	112.53
Qpct	33.13	33.6	21.61	20.49	36.22	34.62	19.18	22.16
Qpctl	27.12	22.5	31.49	29.24	24.74	25.06	28.43	30.17
Qprt	0.67	0.39	0	0.21	0.63	0.76	0.09	0.21
Qrfp	0.04	0.19	0	0.17	0.17	0.17	0.07	0.04
Qrfpr	0.06	0	0	0	0	0	0	0.07
Qrich1	54.83	52.25	64.9	57.87	71.82	65.91	60.66	63.86
Qrich2	0	0.1	0	0	0	0	0	0
Qrsl1	10.08	9.6	5.65	5.6	7.85	9.12	4.93	4.43
Qser1	15.01	13.57	17.06	15.45	21.13	17.87	15.91	16.95
Qsox1	179.58	167.67	159.17	156.26	128.74	120.51	133.13	138.88
Qsox2	22.9	18.65	25.36	24.1	23.56	23.54	21.93	25.84
Qtrt1	23.07	27.27	19.5	21.99	21.61	23.34	19.51	19.22
Qtrtd1	12.69	10.44	22.2	20.21	13.08	13.33	18.4	20.53
R3hcc1	30.78	29.25	27.05	26.86	30.32	32.2	26.9	28.25
R3hcc1l	9.01	10.12	10.91	11.54	10.95	10.35	11.17	10.43
R3hdm1	24.24	27.2	40.63	39.58	34.9	33.38	34.82	39.26
R3hdm2	39.68	38.66	51.9	46.91	52.3	48.57	43.6	49.44
R3hdm4	87.05	75.01	82.35	78.61	73.15	69.77	78.61	80.89
R3hdml	0	0	0.12	0	0.57	0.96	0.39	0.24
R74862	3.05	4.11	2.44	3.03	2.27	2.74	2.76	2.82
Rab1	192.91	181	182.06	173.95	240.78	228.4	177.21	189.22
Rab10	122.05	109.24	144.89	142.81	127.45	123.36	139.59	154.77
Rab10os	7.52	8.24	8.32	9.43	7.04	6.34	9.56	9.84
Rab11a	92.36	92.14	68.11	77.42	105.93	99.88	75.21	77.2
Rab11b	40.02	40.17	37.82	38.12	38.3	36.87	37.87	38.17
Rab11fip1	0.53	0.55	0.94	0.86	0.7	0.82	0.88	1.16
Rab11fip2	16.45	13.95	22.7	21.12	16.46	13.93	19.48	21.38
Rab11fip3	21.11	20.21	30.12	27.97	22.22	20.92	26.19	28.38
Rab11fip4	0.03	0	0	0	0	0.04	0	0
Rab11fip4os1	0	0	0.06	0	0	0.06	0	0
Rab11fip4os2	0	0	0	0	0	0	0	0
Rab11fip5	27.96	27.78	24.72	25.19	32.64	30.37	25.64	28.27
Rab12	83.32	73.62	96.2	99.08	84.04	83.78	91.03	103.08
Rab13	32.63	44.84	38.41	39.18	42.21	36.75	39.76	41.39
Rab14	137.8	123.35	125.72	126.07	129.75	124.96	121.33	131.53
Rab15	7.49	6.6	6.75	6.05	9.25	7.7	7.35	7.74
Rab17	0	0	0	0	0	0	0.07	0
Rab18	91.82	80.56	92.74	94.31	96.67	94.88	92.53	97.25
Rab19	1.72	1.3	0.68	0.86	1.03	1.17	1.29	0.48
Rab1b	156.93	142.25	121.15	117.93	139.68	137.54	118.47	124.21
Rab20	6.37	9.35	13.12	17.3	15.67	15.01	18.21	19.39
Rab21	85.19	82.93	84.96	81.54	99.73	93.45	86.23	88.56
Rab22a	57.36	50.89	54.66	50.93	60.66	56.32	44.49	48.4
Rab23	24.33	19.84	17.49	17.88	27.8	26.84	15.36	17.14
Rab24	57.83	60.53	54.72	56.78	45.71	45.89	55.69	55.68
Rab25	0	0.11	0.12	0.12	0.95	1.36	1.94	1.46
Rab26	0.08	0	0.18	0	0.26	0.18	0	0.09
Rab26os	20.9	23.54	15.26	16.19	16.97	12.68	15.02	11.4
Rab27a	2.6	2.5	0.65	0.52	2.51	2.36	0.47	0.64
Rab27b	0.23	0.29	0.04	0.07	0.39	0.21	0.14	0.18
Rab28	48.65	42.78	68.75	68.39	46.12	50.6	67.2	73.97
Rab29	32.67	31.71	36.86	38.1	30.62	31.18	33.85	37.56
Rab2a	258.76	244.29	206.3	209.87	261.84	255.08	213.5	206.65
Rab2b	9.16	9.21	9.34	8.36	10.83	11.35	9.78	9.43
Rab30	12.22	10.46	5.33	5.02	9.61	9.73	4.77	5.89
Rab31	67.98	66.53	35.1	34.41	82.9	82.14	40.72	40.87
Rab32	63.36	62.41	83.97	84.95	70.28	66.42	80.38	88.86
Rab33a	0.69	0.69	0.22	1.09	0.75	1.78	0.28	0.44
Rab33b	20.56	16.92	19.77	20	22.75	20.46	18.08	20.14
Rab34	141.19	156.63	149.58	148.02	162.37	168.31	152.35	147.88
Rab35	66.63	64.55	47.95	51.13	66.05	64.47	43.12	49.63
Rab36	1.69	1.19	2.08	1.87	1.2	1.1	1.86	1.84
Rab37	0.05	0.26	0.17	0.11	0.22	0.29	0.33	0.23
Rab38	1.14	1.3	8.81	8.41	2.73	1.94	10.3	10.77
Rab39	0.04	0.11	0.08	0.12	0.12	0	0.07	0.21
Rab39b	4.51	4.56	5.21	4.62	6.97	6.59	4.83	5.11
Rab3a	6.72	8.53	13.68	13.11	5.54	6.56	10.1	9.68
Rab3b	1.09	1.47	0.07	0.15	0.76	0.6	0.22	0
Rab3c	0	0.01	0.01	0	0	0.01	0.01	0
Rab3d	9.93	8.42	6.7	6.19	9.51	8.64	6.36	7.87
Rab3gap1	27.23	24.94	32.19	30.68	27.4	25.48	30.71	31.99
Rab3gap2	29.03	22.87	20.86	20.62	29.51	27.52	21.1	22.12
Rab3il1	18.4	21.22	16.94	17.73	22.84	21.74	16.56	16.6
Rab3ip	12.88	12.25	8.19	9.98	12.49	13.03	8.11	8.75
Rab40b	5.39	3.99	13.71	14.84	3.99	4.01	11.79	12.85
Rab40c	16.91	17.75	18.67	18.54	17.63	16.34	18.37	19.89
Rab42	2.11	1.8	0.91	0.72	2.48	0.74	0.46	0.73
Rab43	27.38	27.67	23.78	24.84	29.99	27.78	23.16	27.17
Rab44	0.08	0.11	0	0	0.09	0.09	0	0
Rab4a	15.72	19.27	14.4	14.26	16.55	15.38	14.73	15.41
Rab4b	76.19	80.64	61.96	62.98	75.67	78.67	61.74	63.21
Rab5a	81.68	75.43	85.22	84.75	99.07	94.54	83.54	94.19
Rab5b	57.02	52.75	73.39	69.33	63.74	60.84	64.01	68.08
Rab5c	125.4	141.26	138.82	141.99	176.15	170.87	129.93	138.09
Rab6a	114.12	96.39	112.81	107.09	146.25	128.59	106.84	114.22
Rab6b	4.79	5.14	5.17	5.32	5	4.15	3.58	4.81
Rab7	265.8	250.41	225.23	217.19	310.9	308.15	215.92	229.01
Rab7b	17.57	21.32	12.44	10.51	20.14	21.38	12.81	14.19
Rab8a	83.18	84.94	71.44	72.4	88.18	86.96	75.74	73.35
Rab8b	34.69	30.19	24.27	23.02	51.84	44.23	24.72	26.98
Rab9	62.72	60.7	91.31	90.15	62.49	61.77	75.15	82.96
Rab9b	0	0.03	0	0	0	0	0	0
Rabac1	345.2	322.52	383.78	379.27	299.96	321.11	415.76	379.66
Rabep1	33.3	31.85	36.75	32.99	35.37	32.71	33.59	33.95
Rabep2	21.73	19.6	14.9	15.81	22.29	21.09	13.83	16.68
Rabepk	20.75	19.73	17.95	19.04	21.34	23.55	18.48	19.48
Rabgap1	32.6	28.78	34.38	32.86	35.47	33.18	32.18	34.77
Rabgap1l	12.48	10.25	12.49	13.56	13.51	13.26	11.66	11.13
Rabgef1	25.73	20.45	22.37	21.49	28.22	27.11	23.02	22.49
Rabggta	16.66	13.84	5.26	5.78	13.26	13.98	6.99	6.83
Rabggtb	100.07	85.87	104.73	112	92.47	96.27	102.87	108.48
Rabif	33.25	32.58	35.96	34.72	40.76	41.8	34.62	35.86
Rabl2	8.12	7.37	10.26	10.77	7.97	8.13	8.7	9.68
Rabl3	11.62	10.29	5.01	3.67	15.33	14.5	5.37	5.35
Rabl6	54.79	54.9	60.92	55.41	60.1	60.11	57.04	57.57
Rac1	390.13	326.23	263.27	269.16	355.02	362.14	271.89	278.64
Rac2	1.45	1.13	1.02	1.09	2.21	1.85	1.76	1.82
Rac3	8.55	7.01	9.47	11.16	5.72	4.73	9.51	9.31
Racgap1	62.65	57.28	52.22	50.05	71.59	70.85	53.27	51.71
Rad1	15.83	13.46	23.31	18.52	17.31	17.4	22.57	20.73
Rad17	18.89	16.17	23.09	22.48	20.71	19.9	20.48	21.85
Rad18	15.44	13.7	15.26	12.94	20.88	18.8	14.05	14.1
Rad21	98.78	81.64	96.08	94.39	116.26	115.45	95.04	99.59
Rad21l	0	0	0	0	0	0	0	0
Rad23a	54.9	51.15	26.42	28.88	50.43	51.61	30.74	29.02
Rad23b	154.65	154.11	122.74	120.23	166.58	161.19	114.31	120.68
Rad50	28.19	24.71	27.64	24.9	32.91	30.83	25.43	26.19
Rad51	34.06	29.65	20.36	21.31	32.01	31.8	24.16	23.23
Rad51ap1	12.98	13.59	11.76	11.64	18.16	17.29	13.02	13.61
Rad51ap2	0.21	0.14	0	0	0.15	0.04	0.13	0.08
Rad51b	2.77	2.01	3.45	2.75	3.16	2.4	2.54	3.12
Rad51c	2.05	2.78	2.59	2.19	2.97	2.96	3.14	2.16
Rad51d	10.62	10.99	7.75	7.91	10.03	9.24	8.62	7.93
Rad52	8.71	10.08	11.79	12.54	9.51	8.78	11.91	11.91
Rad54b	4.97	4.24	3.67	3.75	5.99	4.82	4.89	3.89
Rad54l	11.5	9.83	10.96	11.26	10.71	9.87	11.1	12.93
Rad54l2	11.92	10.53	17.89	16.67	12.71	11.71	15.77	15.53
Rad9a	21.08	19.17	16.85	15.54	22.14	23.26	15.67	18.74
Rad9b	0.57	0.78	3.09	2.9	0.39	1.04	2.78	3.79
Radil	4.5	4.36	1.26	1.28	4.1	5.06	1.5	1.59
Rae1	43.95	40.06	47.42	48.1	48.1	47.16	45.99	45.84
Raet1a	0.31	1.11	0	0	1.21	1.4	0.33	0
Raet1b	0	0	0	0.07	0	0	0.58	0
Raet1c	0	0.69	0	0	0	0	0	0.89
Raet1d	9.57	8.04	3.12	3.59	15.48	15.55	3.15	4.6
Raet1e	4.39	5.56	1.3	1.22	8.74	5.81	1.17	0.95
Raf1	65.25	55.76	66.74	62.84	62.29	60.21	61.17	61.64
Rag1	0	0	0	0	0	0	0	0
Rag2	0	0	0	0.04	0	0	0	0
Rai1	26.27	25.62	21.3	18.61	28.62	26.51	17.15	20.6
Rai14	39.89	35.54	24.48	22.11	59.82	54.38	27	27.92
Rai2	2.96	3.44	2.15	2.61	3.11	2.77	2.26	2.69
Rala	42.09	44.06	29.96	29.99	44.22	46.3	31.58	29.92
Ralb	67.81	69.37	46.94	49.51	70.82	70.53	47.19	48.31
Ralbp1	77.32	79.73	62.56	64.35	73.27	74.92	62.82	67.79
Ralgapa1	12.9	10.34	13.03	11.49	15.58	12.48	11.63	12.5
Ralgapa2	2.37	1.84	2.34	2.13	2.63	2.22	2.26	2.39
Ralgapb	20.48	16.3	24.5	21.23	25.18	21.95	21.66	22.56
Ralgds	28.87	29.81	45.34	43.86	31.28	27.14	43.99	43.19
Ralgps1	1.39	0.83	1.25	1.21	1.2	1.44	0.81	1.04
Ralgps2	2.37	1.58	1.07	1.1	2.03	2.27	1.13	1.45
Raly	321.68	346.86	206.19	217.65	270.29	278.99	217.69	215.77
Ralyl	0	0	0	0	0	0	0	0
Ramp1	1.96	1.48	0.05	0.1	1.68	1.38	0.39	0.15
Ramp2	22.73	26.74	39.99	44.08	24.66	25.64	24.95	31.54
Ramp3	1.4	1.32	1.89	2.81	0.61	1.38	2.45	2.4
Ran	518.58	484.95	318.6	336.53	465.82	489	343.98	332.65
Ranbp1	429.08	449.15	247.48	260.99	446.91	493.25	264.43	246.98
Ranbp10	19.17	17.38	23.07	19.68	22.62	20.17	19.94	22.39
Ranbp17	1.94	1.43	1.07	1.23	2.07	2.25	0.9	1.29
Ranbp2	56.16	45.72	61.46	54.94	60.74	53.1	52.43	57.32
Ranbp3	61.1	69.17	57.56	54.16	66.9	67.82	57.76	57.3
Ranbp3l	0	0.03	0.09	0.03	0.03	0	0	0.06
Ranbp6	7.72	6.51	9.67	11.17	6.79	6.27	9.4	10.8
Ranbp9	42.84	41.59	52.97	53.33	50.64	48.91	48.32	55.79
Rangap1	116.17	106.11	80.62	74.06	101.47	104.42	77.76	81.13
Rangrf	28.18	30.41	36.06	34.95	30.91	32.78	38.87	38.59
Rap1a	92.88	91.09	75.62	80.82	101.12	96.19	74.86	80.71
Rap1b	270.87	255.79	161.04	173.16	283.55	277.53	170.1	180.84
Rap1gap	1.93	1.81	0.84	0.79	1.63	1.39	0.86	0.68
Rap1gap2	3.83	3.52	1.5	0.94	5.92	6.48	2.78	2.86
Rap1gds1	63.67	58.4	50.63	49.13	76.36	71.03	49.63	55.63
Rap2a	38.23	32.43	54.11	52.45	37.81	35.63	48.94	52.82
Rap2b	23.17	20.62	31.51	31.14	23.55	22.74	29.33	31.22
Rap2c	42.17	40.15	69.06	70.34	50.51	45.07	61.87	71.55
Rapgef1	39.4	35.77	33.75	31.75	43.39	39.44	30.39	31.71
Rapgef2	13.9	9.83	25.63	22.33	15.23	14.34	21.99	23.88
Rapgef3	3.98	3.61	1.07	0.73	4.03	3.61	1.08	1.32
Rapgef4	0.27	0.38	0.6	0.3	0.76	0.64	0.43	0.6
Rapgef5	1.01	0.64	1.23	0.94	1.68	1.77	1.05	1.19
Rapgef6	12	8.95	15.04	13.15	13.55	12.4	12.44	13.61
Rapgefl1	1.05	0.85	0.91	0.96	0.77	0.95	0.81	0.97
