	day0_1	day0_2	day1_1	day1_2	day5_1	day5_2
Smpd3	118	127	119	109	206	167
Smpd4	546	545	482	495	395	504
Smpd5	16.76	10.82	12.15	9.5	3.13	10.42
Smpdl3a	592	549	558	587	1495	2016
Smpdl3b	122	97	32	30	8	9
Smpx	2	5	12	9	1	2
Smr2	0	0	0	0	0	0
Smr3a	0	0	0	0	0	0
Sms	379	311.94	138.93	165.85	130	156.96
Smtn	1575	1521	841	816	865	778
Smtnl1	0	0	0	0	1	0
Smtnl2	2	9	15	13	85	45
Smu1	1578.76	1476.03	1051.75	1072.11	904.91	1012.86
Smug1	221	202	239	227	286	362
Smurf1	2475	2131	1190	1133	1432	1763
Smurf2	2247	1867	2324	2304	2199	2545
Smyd1	23	22	22	13	6	8
Smyd2	1234	1154	700	690	534	651
Smyd3	213	242	134	130	108	114
Smyd4	273	241	152	174	253	299
Smyd5	707	660	491	466	249	351
Snai1	1380	1542	2606	2598	250	300
Snai2	1300	1282	1346	1375	178	275
Snai3	0	1	0	0	12	10
Snap23	1253	1079	1371	1286	893	1167
Snap25	0	0	8	3	9	17
Snap29	702	639	832	793	583	653
Snap47	1341	1297	972	976	568	580
Snap91	10	10	5	11	6	3
Snapc1	458	492	359	404	217	242
Snapc2	523	546	243	238	220	284
Snapc3	302	252	210	191	156	153
Snapc4	416	374	455	442	215	226
Snapc5	194	235	167	165	148	229
Snapin	808.32	819.04	817.23	762.15	865.04	1033.14
Snca	3	2	2	1	0	0
Sncaip	53	71	193	161	58	68
Sncb	0	0	0	0	0	0
Sncg	66	122	4	5	388	359
Snd1	5219	5034	5550	5538	2541	2835
Sned1	3295	2729	15802	12562	1985	2175
Snf8	828	867	600	643	544	650
Snhg1	364	402	778	715	296	410
Snhg10	9	14	6	14	5	8
Snhg11	231	262	271.02	235	331.48	352
Snhg12	359	422	826	820	318	351
Snhg14	38	37	54	58	44	52
Snhg17	254.68	295.78	295.07	302.21	175.64	151.83
Snhg18	413	399	358	359	196	234
Snhg20	115	98	117	114	115	108
Snhg3	113	133	133	134	134	175
Snhg4	450	328	285	280	68	74
Snhg5	624	545	641	679	247	277
Snhg6	514	557	409	471	198	257
Snhg7	63	77	57	52	39	42
Snhg8	288	332	316	372	111	128
Snhg9	2	1	2	0	1	0
Snip1	461	368	459	443	261	331
Snn	729	675	928	894	369	486
Snora15	0	0	0	0	0	0
Snora16a	4	3	1	0	2	0
Snora17	4	13	7	8	3	5
Snora19	0	0	0	0	0	0
Snora20	0	0	0	0	0	0
Snora21	2	2	0	0	2	2
Snora23	0	2	1	1	1	0
Snora24	0	0	0	0	0	0
Snora26	0	0	0.71	0	0	0
Snora28	4	3	13	9	9	12
Snora2b	1	3	0	0	0	0
Snora3	2	3	4	2	0	1
Snora30	2	2	0	1	1	0
Snora31	8	6	3	6	3	11
Snora33	1	0	1	0	0	2
Snora34	3	1	1	3	1	1
Snora35	0	0	0	0	0	0
Snora36b	0	0	0	0	0	1
Snora41	2	4	4	1	2	2
Snora43	1	6	1	1	0	0
Snora44	1	0	3	0	2	2
Snora47	0	0	0	0	0	2
Snora52	6	2	7	4	4	1
Snora5c	1	2	1	1	0	0
Snora61	0	0	0	0	0	0
Snora62	4	0	0	1	0	0
Snora64	9	7	11	2	3	0
Snora65	9	11	10	10	3	4
Snora68	2	1	4	4	3	2
Snora69	0	1	0	0	0	0
Snora70	6	1	6	9	4	7
Snora74a	1	2	4	5	1	1
Snora75	2	0	1	4	0	3
Snora78	1	1	0	3	0	0
Snora7a	2	5	3	4	3	1
Snora81	10	6	9	7	9	13
Snord100	0	0	0	0	0	0
Snord104	0	0	0	0	0	0
Snord11	0	0	0	0	0	0
Snord110	0	0	0	0	0	0
Snord111	0	0	0	0	0	0
Snord116	0	0	0	0	0	0
Snord116l1	0	0	0	0	0	0
Snord116l2	0	0	0	0	0	0
Snord118	0	0	0	0	0	0
Snord12	0	0	0	0	0	0
Snord123	0	0	0	0	0	0
Snord14a	0	0	0	0	0	0
Snord14c	0	0	0	0	0	0
Snord14d	0	0	0	0	0	0
Snord15a	0	1	1	0	0	0
Snord15b	1	2	0	2	1	0
Snord16a	5	3	5	5	1	4
Snord17	0	0	0	0	0	0
Snord19	0	0	0	0	0	0
Snord1a	0	0	0	0	0	0
Snord1b	0	0	0	0	0	0
Snord1c	0	1	0	0	0	0
Snord2	0	0	0	0	0	0
Snord22	15	23	10	10	2	8
Snord23	1	0	0	0	0	0
Snord32a	0	1	1	0	0	0
Snord33	1	1	0	2	0	0
Snord34	0	0	0	0	0	0
Snord35a	3	3	0	2	2	0
Snord35b	0	2	2	1	0	1
Snord37	0	0	0	0	0	0
Snord38a	0	0	0	0	0	0
Snord42a	0	0	0	0	0	0
Snord42b	0	0	0	0	0	0
Snord43	0	0	0	0	0	0
Snord45b	0	0	0	0	0	0
Snord45c	0	0	0	0	0	0
Snord47	0	0	0	0	0	0
Snord49a	0	0	0	0	0	0
Snord49b	0	0	0	0	0	0
Snord4a	0	0	0	0	0	0
Snord52	0	0	0	0	0	0
Snord53	0	0	0	0	0	0
Snord55	0	0	0	0	0	0
Snord57	0	0	0	0	0	0
Snord58b	0	0	0	0	0	0
Snord61	0	0	0	0	0	0
Snord64	0	0	0	0	0	0
Snord65	0	0	0	0	0	0
Snord66	0	0	0	0	0	0
Snord67	0	0	0	0	0	0
Snord68	0	0	0	0	0	0
Snord69	0	0	0	0	0	0
Snord7	0	0	0	0	0	0
Snord70	0	0	0	0	0	0
Snord71	0	0	0	0	0	0
Snord72	0	0	0	0	0	0
Snord73a	0	0	0	0	0	0
Snord8	1	3	0	0	2	0
Snord82	0	0	0	0	0	0
Snord83b	0	1	2	0	0	0
Snord85	0	0	0	0	0	0
Snord87	0	0	0	0	0	0
Snord88a	0	0	0	0	0	0
Snord88c	0	0	0	0	0	0
Snord89	0	0	4	2	0	1
Snord90	0	0	0	0	0	0
Snord91a	0	0	0	0	0	0
Snord92	0	0	0	0	0	0
Snord93	0	0	0	0	0	0
Snord95	0	0	0	0	0	0
Snord96a	0	0	1	0	0	0
Snord98	0	0	0	0	0	0
Snord99	0	0	0	0	0	0
Snph	7	6	13	10	21	19
Snrk	1002	1064.87	1914.55	1811	15301.29	14958.82
Snrnp200	4241	3416	3548	3168	2741	3067
Snrnp25	267	258	170	189	81	123
Snrnp27	454	493	370	404	474	524
Snrnp35	121	129	112	132	113	134
Snrnp40	655	699	633	603	275	319
Snrnp48	212	248	265	252	207	229
Snrnp70	4006	4261	4042	4104	2510	2762
Snrpa	746.26	885.81	1121.97	1038.27	577.39	685.56
Snrpa1	1119	1140	599	659	341	326
Snrpb	3070	2996	2074	2207	1348	1528
Snrpb2	658	787	620	668	440	548
Snrpc	702	780	553	524	367	459
Snrpd1	1004	1056	648	653	332	370
Snrpd2	877	1119	942	948	467	563
Snrpd3	867	781	788	768	400	569
Snrpe	1285	1112	645	684	406	468
Snrpf	543.56	626.5	562.89	575.82	206.85	308.83
Snrpg	889	887	780	780	259	332
Snrpn	180.17	176.34	119.04	106.97	339.58	383.59
Snta1	2415	2541	2450	2421	4789	5090
Sntb1	63	49	29	30	584	620
Sntb2	1042	695	920	716	330	415
Sntg1	1	4	2	6	1	3
Sntg2	10	5	11	5	37	80
Sntn	0	0	0	0	0	0
Snupn	191	199	223	186	155	164
Snurf	12.83	15.66	7.96	5.03	30.42	14.41
Snw1	1852	1927	1436	1483	1162	1264
Snx1	2239	2191	2276	2262	1667	1665
Snx10	924	833	552	576	3060	3517
Snx11	499	403	515	500	250	260
Snx12	1539	1277	625	693	513	652
Snx13	1138	965	1151	1097	1109	1404
Snx14	755	632	883	912	1163	1324
Snx15	327	338	202	228	232	241
Snx16	153	175	121	114	111	115
Snx17	1840	1860	1678	1619	1463	1747
Snx18	3646	3238	3463	3198	1090	1145
Snx19	1416	1150	1634	1627	878	1058
Snx2	1566	1575	1551	1508	1542	2067
Snx20	32	17	18	8	14	23
Snx21	325	359	282	296	352	363
Snx22	25.28	19.72	50.38	47.89	15.21	17.61
Snx24	309	322	245	219	319	368
Snx25	523	469	491	509	577	644
Snx27	1260	1083	1117	1058	1124	1235
Snx29	78	65	107	95	81	83
Snx3	2599	2649	1668	1697	1909	2338
Snx30	1167	910	621	595	552	637
Snx31	1	1	1	0	2	2
Snx32	90	83	132	107	89	132
Snx33	1149	1094	936	883	759	766
Snx4	2160	1850	1296	1417	1113	1251
Snx5	3346	3123	2830	2948	1684	2106
Snx6	1416	1476	847	919	994	1013
Snx7	1056	949	684	660	618	723
Snx8	881	846	345	359	395	493
Snx9	2717	2364	1636	1657	1807	2159
Soat1	2689	2198	1735	1678	1082	1233
Soat2	189	164	57	56	37	20
Sobp	102	119	107	126	49	28
Socs1	160	105	112	99	21	22
Socs2	979	1027	1216	1280	326	308
Socs3	1744	1613	1229	1151	262	292
Socs4	363	311	437	329	242	263
Socs5	3245	2854	1470	1553	544	662
Socs6	578	495	500	486	470	626
Socs7	561	530	558	573	506	456
Sod1	2978	3219	2678	2878	8534	10531
Sod2	1252	1073	2769	2762	5058	5941
Sod3	4244	4182	5079	5340	1495	2097
Soga1	2865	2553	2900	2520	2140	2216
Soga3	2	0	1	2	3	0
Sohlh1	0	0	0	0	0	0
Sohlh2	9	9	1	2	0	2
Son	8603	8329	8385	8255	7428	7796
Sorbs1	976	902	448	408	11902	14372
Sorbs2	122	108	29	12	51	57
Sorbs2os	1	0	0	1	0	0
Sorbs3	920	1018	428	365	740	711
Sorcs1	8	7	20	8	1	5
Sorcs2	261	228	32	49	68	84
Sorcs3	9	11	8	9	0	0
Sord	540	558	231	283	748	856
Sorl1	11	10	12	8	719	1042
Sort1	165	167	578	566	5762	8215
Sos1	1085	900	1105	1037	850	906
Sos2	487	452	580	583	669	749
Sost	0	0	1	1	0	0
Sostdc1	0	1	0	0	0	0
Sowaha	0	0	0	0	3	0
Sowahb	1	1	0	0	0	1
Sowahc	283	220	304	262	1389	1649
Sowahd	0	0	1	2	1	5
Sox1	1	0	0	0	0	0
Sox10	8	13	9	3	1	3
Sox11	168	160	164.1	125	22	33
Sox12	762	816	554	534	172	209
Sox13	135	139	128	113	50	62
Sox14	0	0	0	0	0	0
Sox15	2	0	2	0	0	0
Sox17	21	25	31	25	9	8
Sox18	93	128	133	158	57	80
Sox2	5	0	5	2	2	2
Sox21	0	0	1	2	0	0
Sox2ot	1	2	0	0	1	0
Sox3	0	0	0	0	0	0
Sox30	6	10	8	3	3	5
Sox4	3803	4270	2108	2048	913	1123
Sox5	108	120	245	241	367	379
Sox5os3	0	1	2	0	0	2
Sox6	6	8	15	10	61	62
Sox7	62	44	37	43	27	34
Sox8	23	25	21	12	3	4
Sox9	1165	1116	752	703	300	268
Sp1	1638	1476	1918	1820	1352	1577
Sp100	519.39	587.41	233	236.95	261.82	376.8
Sp110	169	192	33	30	47	83
Sp140	386.94	427.63	284.37	323.41	367.99	345.42
Sp2	241	287	208	192	255	284
Sp3	2264.39	1948.37	2549.16	2619.53	1914.09	2208.27
Sp3os	41.61	44.63	49.84	47.47	67.91	86.73
Sp4	153	165	300	279	107	133
Sp5	1	0	0	0	0	0
Sp6	4	5	5	2	1	0
Sp7	285	247	32	46	6	5
Sp8	0	0	0	0	0	0
Sp9	1	1	2	1	1	0
Spa17	16	10	12	20	12	11
Spaca1	26	24	20	34	36	48
Spaca3	0	0	0	0	0	0
Spaca4	1	2	0	1	0	0
Spaca5	0	0	0	0	0	0
Spaca6	23	29	13	30	14	13
Spaca7	0	0	0	0	0	0
Spag1	74	74	79	82	35	48
Spag11a	0	0	0	0	0	0
Spag11b	0	0	0	0	0	0
Spag16	0	0	0	0	0	0
Spag17	4	2	11	7	3	6
Spag4	22	35	24	31	7	13
Spag5	703	621	620	595	65	53
Spag6	0	0	0	0	0	0
Spag6l	0	0	6	3	6	0
Spag7	675	742	558	546	601	603
Spag8	1	3	0	3	2	2
Spag9	3420	2845	3376	3118	3880	4313
Spam1	0	0	0	0	0	0
Spanxn4	0	0	0	0	0	0
Sparc	209028	183411	159068	159999	71037	83019
Sparcl1	370	495	1543	1549	2651	3699
Spast	1150	1042	888	868	809	886
Spata1	39.06	39.77	44.68	51.33	30.4	18.6
Spata13	164	146	30	34	41	51
Spata16	0	0	0	1	0	0
Spata17	2	2	1	1	10	9
Spata18	1	1	0	0	0	0
Spata19	0	0	0	0	0	0
Spata2	632.51	573.6	591.29	478.72	463.4	510.61
Spata20	0	6	1	0	3	1
Spata21	1	0	0	0	1	0
Spata22	0	0	0	0	28	37
Spata24	122	142	153	126	23	44
Spata25	0	0	0	0	8	2
Spata2l	32	45	78	67	56	46
Spata3	0	0	0	0	0	0
Spata31	0	0	0	0	0	0
Spata31d1a	0	0	1	1	0	0
Spata31d1b	1	0	0	0	0	0
Spata31d1c	0	0	0	0	0	0
Spata31d1d	0	1	0	0	0	0
Spata32	0	0	0	0	0	0
Spata33	2	0	1	4	2	2
Spata4	1	0	0	0	0	1
Spata45	0	0	0	0	0	0
Spata5	693	638	488	480	222	275
Spata5l1	129	112	88	65	69	77
Spata6	415	368	274	244	210	285
Spata7	48	64	54	50	47	61
Spata9	5	5	0	3	7	7
Spatc1	0	0	1	0	0	0
Spatc1l	1	0	0	1	0	1
Spats1	1	6	0	1	0	0
Spats2	852	741	716	750	416	489
Spats2l	276	230	134	140	34	40
Spc24	424	411	275	288	33	38
Spc25	623	641	521	502	133	173
Spcs1	1631.8	1713.12	1735.23	1826.31	1119.6	1579.89
Spcs2	2854	2416	3723	3961	1294	1505
Spcs3	2462	2166	3337	3324	969	1214
Spdef	1	2	3	0	1	1
Spdl1	370	369	441	443	44	55
Spdya	8.83	7.36	9.73	11.42	7.49	12.24
Spdye4a	0	0	0	0	0	0
Spdye4b	0	0	0	0	0	0
Specc1	565	491	116	104	61	70
Specc1l	2195	1944	1960	1831	806	923
Speer1	0	0	0	0	0	0
Speer2	0	0	0	0	0	0
Speer3	5	6	0	0	0	1
Speer4a	0	0	1	0	0	0
Speer4b	0	0	0	0	0	0
Speer4c	0	0	0	0	0	0
Speer4cos	0	1	0	0	0	0
Speer4d	0	0	0	0	0	0
Speer4e	0	0	0	0	0	0
Speer4f1	0	0	0	0	0	0
Speer5-ps1	0	0	0	0	0	0
Speer6-ps1	0	0	0	0	0	0
Speer8-ps1	0	0	1	0	0	0
Speer9-ps1	0	0	0	0	0	0
Spef1	117	134	110	116	243	236
Spef2	2	1	0	0	0	1
Speg	888	894	372	396	215	229
Spem1	1	1	1	0	0	0
Spen	1594	1498	2248	1906	1233	1148
Spert	0	0	0	0	0	0
Spesp1	0	0	0	0	0	0
Spg11	1102.32	890.29	791.49	767.26	630.19	732.09
Spg20	1777	1557	1605	1461	901	1069
Spg21	1765	1664	990	984	2038	2647
Spg7	1212	1182	1037	1050	1275	1490
Sphk1	290	318	466	542	562	536
Sphk2	758.95	787.06	593.29	629.93	811.65	859.63
Sphkap	42	43	385	328	30	27
Spi1	87	70	58	54	70	100
Spib	1	2	1	0	0	1
Spic	2	3	1	2	1	0
Spice1	194	190	150	157	144	156
Spidr	650.09	647.07	802.59	785.74	345.83	335.16
Spin1	2591	1921	1944	1920	1037	1295
Spin2-ps1	0	0	0	0	0	0
Spin2c	37	30	11	16	0	2
Spin2d	0	0	0	0	0	0
Spin4	112	88	252	231	122	148
Spink1	0	0	0	0	0	0
Spink10	4	7	17	17	0	0
Spink11	0	0	0	0	0	0
Spink12	0	0	0	0	0	0
Spink13	0	0	0	0	1	0
Spink14	0	0	0	0	0	0
Spink2	5	1	0	0	1	1
Spink4	0	0	0	0	1	0
Spink5	0	8	0	0	0	0
Spink6	0	0	3	4	0	0
Spink7	0	0	0	0	0	0
Spink8	0	0	6	5	0	1
Spinkl	0	0	0	0	0	0
Spint1	12	13	5	10	1	8
Spint2	41	28	8	7	27	25
Spint3	0	0	0	0	0	0
Spint4	0	0	0	0	0	1
Spint5	0	0	0	0	0	0
Spire1	1081	884	1090	974	641	728
Spire2	81	82	13	20	31	32
Spn	12	2	2	1	14	10
Spn-ps	0	0	0	0	0	0
Spns1	1129	1050	820	819	787	1088
Spns2	94	111	98	70	20	14
Spns3	1	1	0	0	0	2
Spo11	0	0	0	0	1	0
Spock1	4	1	2	5	6	7
Spock2	36	44	117	116	602	577
Spock3	2	1	5	7	0	0
Spon1	336	339	2244	1928	3250	4149
Spon2	813	772	457	522	192	298
Spop	4484	4152	2648	2608	2341	2317
Spopl	376	347	444	381	279	343
Spp1	2756	2735	1038	1079	1709	2082
Spp2	0	0	0	0	0	0
Sppl2a	1528	1308	1736	1620	969	1227
Sppl2b	429	449	666	587	384	578
Sppl2c	0	0	0	0	0	0
Sppl3	1233	1174	1253	1254	697	889
Spr	1136	1091	600	589	662	731
Spred1	2168	1838	2123	2156	1145	1526
Spred2	454	333	423	397	377	480
Spred3	247	206	76	59	97	90
Sprn	23	40.09	6	3	6	4
Sprr1a	5	1	1	2	62	60
Sprr1b	0	0	3	2	0	0
Sprr2a1	0	0	0	0	0	0
Sprr2a2	0	0	0	0	0	0
Sprr2a3	0	0	0	0	0	0
Sprr2b	0	0	0	0	0	0
Sprr2d	0	0	0	0	0	0
Sprr2e	0	0	0	0	0	0
Sprr2f	0	0	0	0	0	0
Sprr2g	0	0	0	0	0	0
Sprr2h	0	0	0	1	0	0
Sprr2i	0	0	0	0	0	0
Sprr2j-ps	0	0	1	0	0	0
Sprr2k	0	0	1	0	0	0
Sprr3	0	0	0	0	0	0
Sprr4	0	0	0	0	0	0
Sprtn	305	280	369	339	365	417
Spry1	844	765	260	241	169	189
Spry2	524	539	796	795	342	349
Spry4	158	136	215	184	558	773
Spryd3	1006	908	518	525	459	480
Spryd4	249	209	153	201.92	332	331.95
Spryd7	342	304	386	446	491	595
Spsb1	1145	1148	1186	1133	788	699
Spsb2	330	325	205	175	97	121
Spsb3	547	512	536	517	515	589
Spsb4	18	19	6	4	4	1
Spt1	0	0	0	0	0	0
Spta1	54	65	32	30	63	88
Sptan1	13343	11853	8652	7940	7818	8192
Sptb	27	19	34	34	32	35
Sptbn1	15278	13326	15834	14244	13411	14782
Sptbn2	24	13	16	27	17	14
Sptbn4	18	28	23	9	2	0
Sptlc1	976	774	1329	1183	709	759
Sptlc2	2553	2250	1837	1828	1273	1432
Sptlc3	2	0	2	3	698	846
Sptssa	882.43	857	968.76	1037.42	820	935
Sptssb	0	0	10	11	0	0
Spty2d1	1512	1174	1244	1215	735	920
Spx	18	18	25	15	8	6
Spz1	0	0	0	0	0	0
Sqle	2679	2632	4679	4590	1225	1311
Sqrdl	494	534	528	540	1093	1193
Sqstm1	12559	11863	6769	6882	9033	10727
Sra1	1028	1110	890	954	902	980
Srbd1	426	377	463	432	263	284
Src	1325	1246	710	679	322	364
Srcap	3091.57	2868.39	3484.67	2894.9	2045.11	2119.98
Srcin1	1	1	2	0	0	3
Srd5a1	98	71	174	158	57	48
Srd5a2	0	0	0	0	0	0
Srd5a3	423	446	418	399	387	446
Srebf1	2317.38	2192	2080.74	2006	8754.96	10873
Srebf2	4264	3756	4466	4106	1424	1607
Srek1	1314	1370	1330	1268	812	935
Srek1ip1	279	308	283	265	341	411
Srf	1665	1579	963	950	558	646
Srfbp1	459	414	438	418	240	339
Srgap1	1029	973	785	740	624	778
Srgap2	1614	1494	1564	1423	877	942
Srgap3	436	406	801	709	301.08	297
Srgn	94	67	175	151	89	92
Sri	2275	2051	1173	1246	994	1131
Srl	160	129	209	177	137	195
Srm	1890	1873	1679	1706	616	721
Srms	0	2	2	1	3	2
Srp14	1624	1760	1402	1527	857	1017
Srp19	664	818	947	974	642	759
Srp54a	1724.42	1587.98	1181.37	1158.39	1054.95	1236.77
Srp54b	2365.61	2125.28	1724.14	1929.6	1833.66	1930.35
Srp54c	2134.98	2333.73	2179.5	2145.02	1985.39	2372.88
Srp68	2039	2072	2001	1980	1343	1416
Srp72	2822	3137	3645	3413	2830	3125
Srp9	2191	2125	2042	2121	1411	1713
Srpk1	1055	929	900	873	944	998
Srpk2	1055.39	1138.05	1117.76	1005.66	825.33	923.42
Srpk3	0	4	1	1	1	3
Srpr	3763	3252	4579	4595	2382	3038
Srprb	1595	1454	2098	2125	676	758
Srpx	1270	1333	5455	5298	1281	1706
Srpx2	2820	2941	1548	1540	567	677
Srr	358.94	370.44	680.24	658.58	583.8	791.55
Srrd	159.47	114.7	119.19	117.53	68.92	106.59
Srrm1	2170	2205	2294	2257	1611	1798
Srrm2	7258	7391	9670	8713	6132	6099
Srrm3	4	2	9	7	1	0
Srrm4	48	64	20	11	41	42
Srrm4os	2	0	4	5	0	0
Srrt	2063	2217	1907	1927	848	1004
Srsf1	5556	4984	3531	3725	2018	2367
Srsf10	2314	2093	2108	2137	1217	1431
Srsf11	2281	2817	2668	2710	1810	2289
Srsf12	1	2	1	0	1	0
Srsf2	5054	4919	3182	3336	1908	2185
Srsf3	6944	6152	3983	4011	1761	1930
Srsf4	1043.4	1098.58	1076.6	1074.88	788.05	827.62
Srsf5	4482	4209	6288	6290	4468	4759
Srsf6	4138	3920	3993	3859	2219	2800
Srsf7	2166	1785	1843	1832	605	705
Srsf9	2133	1622	1173	1230	706	825
Srxn1	1837	1766	3190	3212	1858	2190
Sry	0	0	0	0	0	0
Ss18	1325	1252	1667	1604	915	1069
Ss18l1	114	99	113	110	104	120
Ssb	3228.17	3303.61	2958.68	3032.02	1790.11	2130.76
Ssbp1	397	414	550	518	429	554
Ssbp2	468	474.81	702	687	209	308
Ssbp3	1534	1678	1328	1259	517	644
Ssbp4	781	852	865	819	627	681
Ssc4d	32	48	14	26	40	62
Ssc5d	1003	1008	514	471	869	1067
Ssfa2	752	663	711	676	1185	1351
Ssh1	296	257	274	234	197	205
Ssh2	771	725	3130	2997	2595	2809
Ssh3	254	238	101	102	183	190
Ssmem1	0	0	0	0	0	1
Ssna1	825	777	482	548	443	446
Sspn	700	644	785	773	764	939
Sspo	5	8	11	3	9	9
Ssr1	8134	7219	8908	8695	2804	3432
Ssr2	2840	2827	2903	2850	1371	1705
Ssr3	13852	11774	16920	16893	6093	7474
Ssr4	1977	1973	2620	2607	1150	1501
Ssrp1	4804	4716	3370	3517	1492	1702
Sssca1	234	276	233	244	186	164
Sst	0	0	0	0	0	0
Sstr1	1	1	1	0	1	0
Sstr2	1	1	1	1	0	0
Sstr3	15	14	13	6	4	5
Sstr4	3	1	3	1	0	0
Sstr5	0	0	0	0	0	0
Ssty1	0	0	0	0	1	1
Ssty2	0	0	0	0	0	0
Ssu2	0	0	0	0	0	0
Ssu72	838	1004	637	658	835	1044
Ssx2ip	295	269	218	187	153	178
Ssx9	0	0	0	0	0	0
Ssxb1	0	0	0	0	0	0
Ssxb10	0	0	0	0	0	0
Ssxb2	0	0	0	0	0	0
Ssxb3	0	0	0	0	0	0
Ssxb5	0	0	0	0	0	1
Ssxb6	0	0	0	0	0	0
Ssxb8	1	0	0	2	0	0
Ssxb9	0	0	0	0	0	0
St13	4692	4392	3479	3592	4636	5149
St14	10	12	7	2	3	4
St18	2	1	0	0	1	1
St3gal1	3081	3193	6190	5639	2951	3421
St3gal2	3822	3511	1867	1785	1153	1301
St3gal3	366	344	359	378	613	627
St3gal4	552.92	554.87	256	255.79	314.96	339.92
St3gal5	567	614	471	457	138	173
St3gal6	10	18	15	17	80	100
St5	1910	1622	1869	1737	706	760
St6gal1	99	100	83	105	118	123
St6gal2	0	0	0	0	0	0
St6galnac1	0	1	0	0	0	0
St6galnac2	73	77	58	70	42	53
St6galnac3	18	18	57	54	9	17
St6galnac4	889	841	1052	1073	247	285
St6galnac5	19	18	16	15	11	10
St6galnac6	1074	1013	1320	1228	713	798
St7	323	334	358	330	221	264
St7l	309	261	586	540	504	652
St8sia1	2	1	0	1	0	0
St8sia2	28	29	46	40	6	25
St8sia3	2	0	0	0	0	0
St8sia3os	0	0	0	0	0	0
St8sia4	95	77	41	55	32	59
St8sia5	1	0	0	0	0	0
St8sia6	8	6	1	1	3	1
Stab1	923.93	699.57	854.83	735.4	1013.58	1252.62
Stab2	46	35	10	8	81	88
Stac	14	9	8	3	0	2
Stac2	181	178	406	399	271	294
Stac3	16	12	11	11	9	4
Stag1	1598	1472	1377	1360	898	1042
Stag2	2929	2540	2701	2704	3116	3555
Stag3	17	22	20	19	7	8
Stam	694	668	855	825	790	939
Stam2	1315	1222	867	846	1167	1361
Stambp	357	414	281	297	394	451
Stambpl1	938	986	873	866	396	408
Stamos	2	2	5	9	4	14
Stap1	0	4	0	1	2	3
Stap2	23	37	19	15	58	72
Star	32	33	349	346	82	83
Stard10	82	97	317	365	297	352
Stard13	747	709	421	393	269	321
Stard3	463	425	308	305	240	294
Stard3nl	1295	1059	893	965	386	426
Stard4	1064	767	1698	1570	428	481
Stard5	272	237	283	271	471	519
Stard6	25	36	30	28	28	49
Stard7	1432	1276	1342	1379	3175	3493
Stard8	350	276	346	304	282	354
Stat1	1939	1590	1135	1108	3465	4603
Stat2	1199	1143	754	750	466	689
Stat3	6030	5486	5779	5441	3667	3784
Stat4	2	1	0	1	0	1
Stat5a	758.66	663.88	498.28	449.13	948.34	1140.75
Stat5b	1250.34	1111.12	726.72	675.87	892.66	946.25
Stat6	2594	2510	2056	2004	2709	2983
Stau1	2129	2086	2132	2047	1507	1743
Stau2	259	229	175	170	332	432
Stbd1	827	802	333	339	243	196
Stc1	378	427	229	253	206	184
Stc2	272	217	195	172	540	486
Steap1	957	896	844	811	149	178
Steap2	2306	2044	2776	2570	1193	1279
Steap3	1280	1198	1250	1111	851	1244
Steap4	62	105	217	197	7117	8902
Stfa1	0	0	0	0	0	0
Stfa2	0	0	0	0	0	0
Stfa2l1	1	0	0	0	0	0
Stfa3	2	0	2	0	0	1
Stil	310	288	260	257	52	51
Stim1	865	721	1661	1660	1857	2104
Stim2	955	964	697	653	381	413
Stip1	3189	3277	3054	3150	1750	1878
Stk-ps2	0	0	0	0	0	0
Stk10	155	151	92	90	139	170
Stk11	2204.86	2228.05	1706.16	1864.57	2015.07	2135.24
Stk11ip	405	386	214	249	307	341
Stk16	842.68	823.85	947.5	945.67	1058.12	1296.19
Stk17b	649	661	456	553	422	513
Stk19	314	313	239	248	241	251
Stk24	2032	1836	1838	1688	2069	2223
Stk25	1550.57	1510.14	1362.01	1219.71	1181.08	1418.69
Stk26	9	11	21	12	0	1
Stk3	784	786	589	618	426	489
Stk31	1	1	0	2	3	4
Stk32a	3	4	7	6	1	0
Stk32b	3	3	0	2	0	0
Stk32c	19	18	9	10	16	9
Stk33	1	1	3	2	3	0
Stk35	676.66	508.39	531.5	491.73	414.47	436.44
Stk36	86	102	64	51	39	55
Stk38	2825	2973	3205	3169	2623	2809
Stk38l	723	622	482	408	491	492
Stk39	787	745	808	883	423	445
Stk4	832	754	706	693	637	710
Stk40	895	847	820	856	1184	1324
Stkld1	3	1	4	0	3	2
Stmn1	3371	3133	1327	1413	230	337
Stmn1-rs1	1	1	0	0	1	0
Stmn2	8	0	5	5	0	0
Stmn3	0	2	3	0	0	1
Stmn4	3	7	2	2	1	0
Stmnd1	0	1	0	0	0	0
Stom	1687	1541	838	844	2158	2645
Stoml1	454	435	248	240	215	275
Stoml2	1032	929	920	872	1150	1460
Stoml3	1	2	1	2	0	0
Ston1	802	698	623	545	480	472
Ston2	128	120	70	64	19	28
Stox1	4	1	1	2	3	4
Stox2	385	330	1312	1154	293	326
Stpg1	0	0	0	0	0	1
Stpg2	0	0	1	0	0	1
Stra13	266	315	490	482	260	339
Stra6	1	0	1	1	0	3
Stra6l	10	14	7	5	5	6
Stra8	0	0	0	0	0	0
Strada	403	417	454	428	207	251
Stradb	199	195	213	214	967	1147
Strap	4137	3592	3628	3555	2404	2999
Strbp	291	281	174	153	286	295
Strc	0	0	1	0	0	0
